battletag,SR,all_damage_done,armor_packs_created,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,molten_core_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,torbjorn_kills,turret_kills,turrets_destroyed,weapon_accuracy,win_percentage
Nomie#11135,3053,8234,25,1734,1,0.12,20,9,0,24,0,11,1,2,0,1,0,6459,3,2,1,1,1,3,0,9,12,0,0,0,1,0,780,130,14,17,0,0.21,0.48
Arvin#12861,2497,3210,11,1116,0,0.04,1,1,0,9,0,2,0,0,0,0,0,1979,1,1,0,0,0,1,0,4,4,0,0,0,1,0,180,21,4,8,0,0.05,1.0
Merciannah#1497,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
GTYCHARGE#1573,2405,30728,54,12912,2,0.07,29,13,0,45,0,21,1,2,0,1,0,16921,5,0,2,3,0,6,1,10,43,0,0,0,5,0,1320,112,29,30,2,0.26,0.33
TallMidget#11548,2279,4796,16,1288,0,0.03,1,6,0,10,0,2,0,0,0,0,0,3508,2,1,0,0,0,0,0,3,21,0,0,0,1,0,300,43,6,8,0,0.17,0.31
Banankungen#2203,2412,1399,8,252,0,0,0,4,0,0,0,0,0,0,0,0,0,1147,0,0,0,0,0,0,0,0,15,0,0,0,0,0,120,0,0,0,0,0.04,1.0
Samwise#11342,2926,966,1,266,0,0,0,2,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0.46,0
lilmac#1137,2066,3727,3,1916,0,0.06,2,2,0,1,0,0,0,0,0,0,0,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,1,0,0.27,1.0
XplizitG#21379,2646,24042,39,0,2,0.06,34,6,0,34,0,8,0,1,0,1,0,0,3,0,1,1,0,12,1,9,23,0,0,0,0,0,720,164,23,22,0,0.45,1.0
tomliamkins#2750,1823,1072,0,556,0,0,0,2,0,3,0,2,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,3,0,0.14,0
Blackrao#1617,3229,72129,112,23361,5,0.07,98,19,0,129,0,53,1,5,2,2,0,48375,17,1,10,6,0,27,2,78,207,0,0,0,7,0,2580,627,83,92,0,0.26,0.69
Slino#1430,2019,18318,29,4932,1,0.07,19,4,0,40,0,16,0,2,0,1,0,12661,4,3,1,0,0,10,1,21,80,0,0,0,1,0,660,322,18,36,0,0.22,0.89
Jodgie#1197,1493,10348,17,2600,1,0.05,6,9,0,27,0,10,0,1,0,1,0,7672,3,0,1,1,0,5,0,11,11,0,0,0,2,0,720,93,5,25,0,0.27,1.0
MrBaghadev#1622,1831,4357,12,0,0,0.18,3,0,0,7,0,4,1,1,0,0,0,0,1,1,0,0,0,1,0,3,1,0,0,0,0,0,180,0,2,6,0,0.11,0
MutenRoshi#21464,2686,1820,4,154,0,0.09,3,2,0,4,0,0,0,0,0,0,0,1665,0,0,0,0,0,0,0,0,2,0,0,0,0,0,60,0,0,4,0,0.28,0
paarthurnax#1192,1921,500,0,28,0,1.0,1,1,0,1,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,1,0,0.11,0
SgtPingu#1806,1892,2036,14,0,0,0.07,7,3,0,8,0,2,0,0,0,0,0,2036,0,0,0,0,0,2,0,3,11,0,0,0,0,0,180,0,6,3,0,0.31,1.0
pZycHoPaT#1990,2530,3766,8,414,0,0.11,18,2,0,5,0,3,0,0,0,0,0,3351,1,0,0,0,0,0,0,0,5,0,0,0,1,0,180,0,3,3,0,0.38,0
BarCo#11884,2650,20989,54,5724,0,0.09,52,25,0,42,0,16,2,2,0,0,0,15264,4,2,0,2,0,3,0,20,110,0,1,0,1,0,1560,66,25,25,1,0.24,0.12
PlasticBlade#1386,3489,9885,11,3811,0,0.08,8,2,0,12,0,7,0,0,0,0,0,6072,1,0,0,0,0,5,0,6,13,0,0,0,1,0,240,59,7,7,0,0.31,0.64
Symmetra#11191,2085,898,3,140,0,0.25,6,1,0,0,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,0,2,0,0,0,0,0,60,0,0,0,0,0.28,0
Matevz112#2859,1922,8589,22,0,0,0.04,16,3,0,14,0,7,0,1,1,0,0,2608,3,1,1,1,1,4,0,9,25,0,0,0,3,0,480,0,8,8,0,0.28,0
Legend#32408,2207,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
KevDough#11762,1792,1725,3,301,0,0.04,1,2,0,2,0,2,0,0,0,0,0,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,1,0,0.29,0
