battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scoped_accuracy,scoped_critical_hits,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,venom_mine_kills,weapon_accuracy,win_percentage
Jolly#21382,3126,6457,336,0,0.11,7,6,0,14,0,7,0,1,0,0,0,5581,1,0,1,0,1,0,1,6,0,1,2,0.44,7,0,5,0,540,0,1,0,0.31,0.3
ksafdo#2441,2976,2544,0,0,0.06,2,6,0,4,0,3,0,0,0,0,0,2544,1,1,0,0,0,0,0,6,0,0,0,0.38,2,0,0,0,300,0,0,0,0.27,0.2
Troublesome#11553,2426,70786,13833,0,0.19,118,63,0,131,0,93,2,8,1,5,0,56394,18,8,4,6,1,0,34,202,0,0,38,0.44,110,0,37,0,3600,153,3,8,0.35,0.68
Simon#21856,2271,10219,586,0,0.16,19,8,0,25,0,19,0,1,0,1,0,9633,3,1,1,1,0,0,3,1,0,0,10,0.46,15,0,5,0,840,18,0,2,0.48,0.64
Heat#11416,2916,155147,17529,1,0.23,375,182,0,402,0,295,10,16,1,5,0,135239,34,12,9,12,4,1,114,370,0,0,109,0.49,321,0,115,1,10800,1279,12,10,0.41,0.35
Varixel#1250,3101,186313,22404,5,0.15,399,188,0,431,0,262,8,16,0,8,0,162418,40,11,17,13,5,1,153,441,0,0,166,0.48,257,0,70,0,10800,2291,3,57,0.41,0.49
toxic#12975,2846,4660,810,0,0.26,13,9,0,14,0,12,1,1,0,0,0,3549,3,0,2,0,0,0,1,3,0,0,0,0.41,12,0,9,0,420,18,1,0,0.34,0
ForceField#21543,2860,7771,703,1,0.17,13,17,0,11,0,9,1,1,0,0,0,6866,2,1,0,0,0,0,1,8,0,0,2,0.49,11,0,0,0,660,45,1,1,0.41,0.27
Chewy#12885,3415,30678,7613,0,0.16,60,30,0,68,0,42,2,3,0,0,0,22837,6,3,1,2,0,0,22,156,0,0,16,0.5,40,0,14,0,2160,118,0,7,0.4,0.07
iwnl#1698,3503,32205,4181,0,0.19,67,32,0,74,0,43,1,3,0,2,0,27774,5,2,0,2,0,0,11,47,0,0,34,0.51,50,0,15,1,2340,262,0,5,0.38,0.55
Ninus#2253,3662,6191,1054,0,0.17,12,8,0,8,0,4,1,1,0,0,0,5138,1,1,0,0,0,0,1,0,0,0,2,0.44,6,0,1,0,480,0,0,0,0.37,0.22
Rance#1841,2859,5858,1560,0,0.08,5,8,0,11,0,8,1,1,0,0,0,4259,1,0,0,0,0,0,6,8,0,0,4,0.6,3,0,0,0,480,0,0,2,0.38,0.1
SK0RP10N17#2236,2271,22359,2554,0,0.12,42,26,0,57,0,32,1,2,0,2,0,19614,5,2,1,2,2,0,13,32,0,1,14,0.41,24,0,9,0,1800,129,2,4,0.33,0.72
Sunshine#1821,1550,3947,787,0,0.01,1,5,0,10,0,7,0,1,0,0,0,3084,1,1,0,0,0,0,3,0,0,0,5,0.56,1,0,2,0,360,0,0,1,0.35,0.47
WaterDiet#11130,2766,11710,1255,0,0.08,9,13,0,16,0,7,1,1,0,0,0,10341,2,0,1,1,0,0,8,27,0,0,5,0.48,7,0,0,0,840,0,0,1,0.39,0.39
Undi#2265,2784,2195,360,0,0.12,2,1,0,3,0,1,0,0,0,0,0,1835,1,0,0,0,0,0,2,10,0,0,4,0.61,2,0,1,0,120,0,0,0,0.41,1.0
TheRedMage#2708,2421,717,0,0,0.5,2,1,0,1,0,1,0,0,0,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0.36,2,0,1,0,53,0,0,0,0.36,0.59
BOLOTANSOSI#6138,2579,3171,156,0,0.14,7,2,0,7,0,6,0,0,0,0,0,2575,2,0,0,1,0,0,0,0,0,0,0,0.48,6,0,5,0,240,0,1,0,0.41,0.24
Mobb#1995,2909,132738,27298,0,0.17,238,154,0,286,0,191,8,15,0,7,0,104694,23,11,4,7,2,0,67,171,0,0,100,0.53,176,0,61,0,7200,708,1,11,0.46,0.47
ErnstoPotato#1657,3086,4727,1994,0,0.09,8,4,0,2,0,0,0,0,0,0,0,2405,1,0,0,1,0,0,0,0,0,0,3,0.55,1,0,0,0,300,0,3,0,0.41,0.48
Rabeez#1559,2617,12518,2036,0,0.13,16,15,0,31,0,19,1,2,0,1,0,10481,3,0,1,2,1,1,5,11,0,1,5,0.46,13,0,9,0,1080,121,0,6,0.35,0.48
DoubleCroXX#1691,1414,5318,120,0,0.12,6,7,0,23,0,14,0,1,0,1,0,4925,1,0,0,1,0,0,7,0,0,0,7,0.39,5,0,4,0,660,0,0,2,0.3,0.77
SpitFire#1343,2939,10750,1547,0,0.11,13,3,0,25,0,10,0,1,0,0,0,8903,2,1,0,1,0,0,9,15,0,0,11,0.65,11,0,4,0,480,64,1,2,0.52,0.76
sNipHoles#1634,2478,4630,785,0,0.12,5,2,0,5,0,2,0,0,0,0,0,3845,0,0,0,0,0,0,3,0,0,0,0,0.53,4,0,1,0,180,0,0,0,0.5,0
UUU#12941,2259,33262,4967,0,0.17,49,48,0,73,0,50,3,5,0,1,0,28199,10,4,3,3,0,0,15,28,0,0,21,0.47,42,0,21,0,2940,62,5,2,0.32,0.27
dezalas48#2734,1857,626,0,0,0.15,2,2,0,0,0,0,0,0,0,0,0,626,0,0,0,0,0,0,0,3,0,0,1,0.16,0,0,0,0,120,0,0,0,0.24,0
