battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scoped_accuracy,scoped_critical_hits,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,venom_mine_kills,weapon_accuracy,win_percentage
Fergalicious#21844,4037,29217,3838,0,0.22,79,44,0,77,0,54,2,4,0,2,0,25134,9,3,4,3,3,0,17,74,0,0,17,0.45,56,0,26,0,2220,286,1,2,0.35,0.56
PapaGlitchy#2651,2409,6292,1003,0,0.22,12,11,0,8,0,6,1,1,0,0,0,5288,1,1,0,0,0,0,0,7,0,0,4,0.51,11,0,2,0,480,0,0,1,0.29,0.04
Jeremos#2358,3516,34208,0,0,0.1,36,32,0,96,0,59,1,4,0,2,0,0,11,4,3,4,0,0,20,18,0,0,0,0.48,35,0,18,0,3060,162,1,7,0.38,0.6
EFFECT#31318,1958,5760,1167,0,0.12,8,4,0,8,0,7,0,1,0,0,0,4589,2,1,0,1,1,0,2,0,0,1,1,0.61,7,0,2,0,360,0,0,1,0.41,0.44
Trigga#11180,3522,4594,726,0,0.07,4,3,0,13,0,8,0,0,0,0,0,3867,1,0,0,0,0,0,1,0,0,0,3,0.61,4,0,2,0,300,48,0,0,0.57,0.26
dragon#18985,2215,11313,1989,0,0.09,13,13,0,15,0,6,0,1,0,1,0,9324,3,1,0,1,0,0,4,25,0,0,6,0.56,7,0,2,0,780,0,0,1,0.36,0.84
xFunStyle#2648,2450,41285,6016,2,0.17,108,37,0,74,0,53,1,4,0,3,0,34895,7,1,3,3,1,0,17,132,0,0,35,0.52,55,0,28,0,2640,597,1,5,0.38,0.73
Oppenheimer#11894,3069,622,119,0,0,0,1,0,1,0,1,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,32,0,0,0,0.25,0
Nostrenos#1737,2220,211,120,0,0,0,1,0,1,0,0,0,0,0,0,0,91,0,0,0,0,0,0,1,0,0,0,0,0.33,0,0,0,0,42,0,0,0,0.26,0
Lucario#21542,2887,22059,2811,0,0.11,31,35,0,49,0,26,1,3,0,1,0,19114,7,2,2,3,0,0,9,25,0,0,14,0.42,22,0,10,0,2100,113,1,6,0.33,0.5
freakintiger#2668,3644,15463,3254,0,0.23,28,20,0,35,0,20,1,2,0,1,0,12209,5,2,1,1,0,0,11,32,0,0,14,0.52,19,0,6,0,1320,48,0,2,0.36,0.68
Kephrii#11655,2797,143455,14620,1,0.21,302,232,0,391,0,277,10,19,0,9,0,127278,33,15,9,10,1,0,89,284,0,0,76,0.39,242,0,109,1,10800,587,4,38,0.37,0.48
SCOPE#11903,3580,1846,0,0,0.3,6,4,0,2,0,1,0,0,0,0,0,1846,1,0,0,1,0,0,0,2,0,0,0,0.57,3,0,1,0,180,16,0,1,0.48,0.07
Patachouwww#2974,2527,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Jackey#11578,2445,3311,279,0,0.25,10,1,0,1,0,0,0,0,0,0,0,3031,1,0,0,0,0,0,0,0,0,0,2,0.47,3,0,0,0,180,0,1,0,0.3,0
Mom#12879,2936,8740,592,1,0.21,16,1,0,25,0,17,0,1,0,1,0,8147,3,0,1,1,0,0,2,3,0,0,12,0.56,16,0,7,0,420,287,0,1,0.49,1.0
Cinnabuns#11729,3369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Zanoo#1266,1910,1608,1029,0,0.2,1,2,0,1,0,1,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0.65,1,0,1,0,120,0,0,0,0.33,0
Eoii#1379,2728,11020,1698,0,0.19,23,12,0,28,0,22,0,1,0,0,0,9240,3,2,1,0,0,0,6,35,0,0,9,0.49,18,0,9,0,900,66,2,3,0.49,0.53
Mariposa#31240,3446,8332,3234,0,0.05,3,2,0,12,0,5,0,1,0,0,0,5098,2,1,0,1,0,0,5,0,0,0,11,0.5,3,0,0,0,420,0,0,1,0.31,0.56
Limousine#11710,2603,76351,0,0,0.13,104,60,0,112,0,75,6,8,1,1,0,0,18,9,3,6,0,0,37,47,0,0,0,0.52,93,0,33,0,3600,208,7,4,0.48,0.16
dunk#11522,2877,17337,0,0,0.11,30,16,0,42,0,30,1,2,0,1,0,0,6,4,0,1,0,0,7,49,0,0,0,0.46,23,0,9,0,1320,131,0,1,0.39,0.67
BeSmart#2935,2416,563,187,0,0,0,1,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,8,0,0,0,0.33,0,0,0,0,60,0,0,0,0.33,1.0
Casual#11993,2599,38493,6465,0,0.18,77,37,0,73,0,49,2,4,0,2,0,31436,6,4,1,1,0,0,15,36,0,0,29,0.52,52,0,21,0,2700,205,3,6,0.41,0.55
youngfoon#1565,1930,183391,25028,3,0.12,254,120,0,436,0,282,18,27,0,9,0,155125,62,23,22,16,3,0,120,56,0,0,149,0.47,188,0,114,0,14400,475,15,37,0.38,0.32
neonnami#2407,2287,25506,0,0,0.13,41,33,0,53,0,35,3,4,0,2,0,0,10,2,3,5,2,0,9,41,0,0,0,0.51,31,0,12,0,2340,66,0,4,0.37,0.4
oPepper#1863,2069,24783,5923,1,0.11,38,12,0,38,0,19,0,2,0,2,0,16309,4,1,2,1,0,0,9,10,0,1,18,0.59,16,0,6,0,1260,67,4,5,0.42,0.79
sora#2593,1881,38913,2995,0,0.11,62,45,0,95,0,55,4,7,0,3,0,35689,9,4,1,4,1,0,14,29,0,0,29,0.48,32,0,24,0,3600,68,0,7,0.38,0.44
Drgalaxy#21722,2817,244425,32984,4,0.15,365,239,0,537,0,374,16,26,1,10,0,210176,55,19,13,23,2,0,130,183,0,0,235,0.55,307,0,147,0,18000,1514,0,23,0.43,0.38
Mexi#11525,3358,38781,9419,0,0.21,65,36,0,71,0,45,1,3,0,2,0,29099,8,2,3,3,0,0,14,34,0,0,26,0.59,56,0,13,0,2460,94,0,2,0.4,0.72
Giftasaurus#1251,2691,2836,0,0,0.09,3,4,0,6,0,5,0,0,0,0,0,2836,1,1,1,0,0,0,0,0,0,0,3,0.43,3,0,2,0,180,0,0,0,0.36,0
Unsmile#2161,2989,5811,1278,0,0.14,12,8,0,5,0,4,1,1,0,0,0,4531,1,1,0,1,0,0,0,0,0,0,4,0.52,7,0,3,0,480,23,0,0,0.4,0
Young#1382,2968,6131,0,0,0.09,6,4,0,5,0,4,1,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0.55,4,0,3,0,300,0,0,0,0.46,0
PiglordX#1966,3514,8241,640,0,0.11,11,9,0,18,0,12,1,1,0,0,0,7601,3,1,1,1,0,0,5,14,0,0,13,0.51,8,0,4,0,540,0,1,1,0.37,0.13
SpaceBilly#2930,2163,3311,1154,0,0.04,4,3,0,7,0,3,0,0,0,0,0,2057,1,0,0,0,0,0,2,36,0,0,5,0.56,4,0,2,0,180,0,0,0,0.37,0.05
Pistola#11768,3000,283067,39823,16,0.2,660,184,0,779,0,568,5,23,1,17,0,240931,59,10,37,13,4,2,208,248,0,0,260,0.54,467,0,191,0,14400,4740,15,32,0.38,0.75
ogba#1552,1805,3474,1014,0,0.05,4,3,0,6,0,1,0,0,0,0,0,2460,0,0,0,0,0,0,0,4,0,0,0,0.34,0,0,0,0,180,0,0,3,0.19,0
Jordan#12225,2162,36803,6385,1,0.13,55,29,0,80,0,44,3,3,0,0,0,29379,9,1,2,6,0,0,24,29,0,1,40,0.53,37,0,12,0,2340,89,6,8,0.32,0.0
SubZer0#1985,3939,7635,2046,0,0.33,15,8,0,11,0,9,0,0,0,0,0,5590,1,1,0,0,0,0,1,9,0,0,0,0.56,15,0,2,0,480,0,0,0,0.41,0
Diggums#11308,3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Vasso2317#1450,2281,5440,1234,0,0.18,8,7,0,11,0,8,1,1,0,0,0,4206,2,0,1,1,0,0,5,6,0,0,4,0.51,6,0,2,0,360,41,0,0,0.37,0.13
LKS#4961,2045,120,0,0,0,0,1,0,1,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,48,0,0,0,0.12,0
Spasm#21748,2752,1060,0,0,0.12,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,1,0,0,0,120,0,0,0,0.22,0
Angryagent#11868,2229,3675,600,0,0.1,5,5,0,7,0,5,1,1,0,0,0,3075,0,0,0,0,0,0,0,0,0,0,6,0.4,4,0,1,0,480,0,0,0,0.3,0
Atlas#11100,2560,58048,13154,0,0.14,91,39,0,105,0,62,3,6,0,2,0,44651,14,4,2,8,0,0,30,35,0,0,45,0.5,58,0,18,0,3600,223,0,16,0.4,0.44
Looty27#2606,2663,338,0,0,0,0,1,0,1,0,1,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,56,0,0,0,0.33,0
Cherrem#1305,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0
joebloggie#2551,3204,108232,24179,0,0.13,188,107,0,225,0,147,4,11,0,7,0,82695,25,12,6,7,3,1,72,247,0,0,84,0.52,109,0,40,1,7200,669,11,17,0.4,0.65
sumikfx#2269,2327,5057,840,0,0.17,6,4,0,3,0,2,1,1,0,0,0,4217,1,0,0,1,0,0,0,11,0,0,0,0.56,6,0,1,0,300,0,0,0,0.44,0
Nypro#1996,4063,39629,6305,0,0.18,68,28,0,69,0,49,1,3,0,2,0,32690,7,2,1,3,0,0,7,68,0,0,32,0.54,60,0,16,0,2100,286,0,4,0.41,0.58
texnoz#2587,3754,61453,7119,1,0.14,95,40,0,156,0,113,1,5,0,3,0,54227,13,3,5,4,0,0,35,80,0,0,62,0.56,85,0,47,0,3600,742,1,12,0.48,0.71
slayze#2649,3244,2254,97,0,0.26,5,3,0,6,0,6,0,0,0,0,0,2156,1,0,0,0,0,0,3,0,0,0,1,0.48,5,0,3,0,240,0,0,0,0.27,0.45
bluefiftytwo#2230,2563,6960,344,0,0.12,19,7,0,16,0,11,1,1,0,0,0,6149,2,0,1,1,0,0,5,14,0,0,6,0.6,5,0,3,0,480,62,0,3,0.52,0.17
Tatarus#2790,2742,579,204,0,0,0,1,0,1,0,0,0,0,0,0,0,375,1,0,0,0,0,0,1,0,0,0,0,0.55,0,0,0,0,45,0,0,0,0.5,1.0
Natedogtwist#1922,3251,8204,1395,0,0.25,15,10,0,12,0,10,0,1,0,0,0,6709,3,1,0,1,0,0,3,4,0,0,2,0.49,14,0,3,0,600,0,0,0,0.28,0.5
gimck#1194,2169,10305,0,0,0.21,23,8,0,19,0,13,0,1,0,0,0,0,3,1,0,2,0,0,3,39,0,0,0,0.53,20,0,6,0,720,32,0,0,0.49,0.27
Vivid#1911,2482,33415,0,0,0.11,50,28,0,57,0,39,2,3,0,1,0,385,4,1,1,1,0,2,25,27,0,0,0,0.5,36,0,13,0,2220,171,0,5,0.41,0.43
Chexmix#11263,2206,6278,750,0,0.07,5,11,0,12,0,7,1,1,0,0,0,5400,2,0,1,1,0,0,2,4,0,0,5,0.53,4,0,4,0,540,0,0,1,0.23,0.12
DoctorWho#2843,2992,3777,1213,0,0.06,2,3,0,3,0,3,0,0,0,0,0,2464,1,0,0,1,0,0,0,0,0,0,1,0.47,1,0,1,0,240,0,0,1,0.39,0.17
Bry#11802,3104,197412,23242,12,0.21,420,117,0,438,0,339,5,16,0,11,0,172832,46,8,27,11,1,1,108,254,0,0,166,0.52,341,0,108,0,7200,2999,5,9,0.38,0.67
abilities#11376,4574,447,0,0,0.33,1,2,0,1,0,1,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,0,37,0,0,0,0.42,1.0
DRotante#1736,2067,5037,1561,0,0.09,4,9,0,9,0,7,0,1,0,0,0,3476,2,0,0,1,0,0,1,0,0,0,1,0.54,3,0,3,0,420,0,0,0,0.33,0.24
Nikkex#21517,3505,13536,497,1,0.18,32,11,0,33,0,22,1,2,0,1,0,13027,3,1,1,1,0,0,7,15,0,0,18,0.56,23,0,7,0,780,348,0,0,0.51,0.64
VisAbsoluta#21404,3658,8714,750,0,0.17,22,16,0,28,0,20,1,1,0,0,0,7964,4,1,2,1,0,0,10,19,0,0,10,0.51,9,0,7,0,780,72,0,3,0.47,0
PinkBoogyman#2130,2053,255,120,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,19,0,0,0,0.5,1.0
Barsoune#2299,3261,4344,443,0,0.09,6,7,0,6,0,4,0,0,0,0,0,3901,1,0,0,0,0,0,3,0,0,0,3,0.46,4,0,1,0,360,0,0,0,0.4,0
C3RVYT#1882,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Tree#12796,3157,797,156,0,0,0,2,0,2,0,2,0,0,0,0,0,641,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,2,0,60,0,0,0,0.5,0
MalusPuer#11804,2637,9996,3252,0,0.04,8,10,0,14,0,9,1,1,0,0,0,6695,1,1,0,0,0,0,1,3,0,0,4,0.47,4,0,4,0,780,0,0,1,0.43,0
reach#11534,4390,117497,13327,6,0.18,224,92,0,251,0,182,5,10,1,5,0,102681,26,7,12,7,3,1,48,111,0,0,91,0.55,184,0,57,0,7200,1393,3,8,0.44,0.49
BennyPK#1546,2258,380,0,0,0.33,2,2,0,1,0,1,0,0,0,0,0,380,1,0,0,0,0,0,0,0,0,0,0,0.4,1,0,1,0,60,0,0,0,0.33,0
Rakfnaanto#1133,2053,634,0,0,0.17,3,1,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0.12,1,0,0,0,51,0,0,0,0.42,0
MTechnik#1643,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.0
Kingdud#1843,2799,1892,159,0,0.1,4,4,0,5,0,4,0,0,0,0,0,1608,1,0,0,1,0,0,1,0,0,0,2,0.5,1,0,2,0,180,0,0,0,0.37,0.04
Lucasizq#1784,2954,16989,1990,0,0.14,37,26,0,41,0,32,1,2,0,1,0,14924,6,3,1,2,1,0,18,69,0,1,16,0.46,29,0,10,0,1500,183,0,0,0.4,0.54
Lubudubudu#2191,3248,438260,58909,2,0.16,817,353,0,1078,0,693,17,46,2,27,0,373357,104,39,28,37,11,2,286,1084,0,1,361,0.55,597,0,224,1,28800,3447,17,82,0.37,0.61
dOko#11129,2626,147,0,0,0,0,0,0,1,0,1,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,52,0,0,0,0.2,0
Dragin#1467,500,14128,0,0,0.09,34,17,0,24,0,16,2,2,0,0,0,0,3,1,1,0,0,0,6,22,0,0,0,0.47,17,0,6,0,1020,36,0,4,0.46,0.07
xray#2401,2820,15544,723,0,0.11,37,8,0,50,0,32,1,2,0,1,0,14811,4,2,0,2,0,0,18,16,0,0,20,0.49,17,0,6,0,1140,273,0,6,0.35,0.6
Dragin#1467,500,14128,0,0,0.09,34,17,0,24,0,16,2,2,0,0,0,0,3,1,1,0,0,0,6,22,0,0,0,0.47,17,0,6,0,1020,36,0,4,0.46,0.07
xray#2401,2820,15544,723,0,0.11,37,8,0,50,0,32,1,2,0,1,0,14811,4,2,0,2,0,0,18,16,0,0,20,0.49,17,0,6,0,1140,273,0,6,0.35,0.6
GandyOW#2963,3300,1267,120,0,0.2,4,5,0,1,0,1,1,1,0,0,0,1147,2,1,1,1,0,0,0,0,0,0,0,0.31,3,0,1,0,240,0,0,0,0.4,0
Liam#22919,3675,15154,3424,1,0.11,27,8,0,43,0,31,0,1,0,1,0,11730,3,1,2,1,2,0,9,100,0,0,11,0.56,20,0,10,0,840,127,0,2,0.47,0.73
Taimou#3401,2228,25389,2747,0,0.18,60,39,0,47,0,36,2,3,0,1,0,22543,11,3,3,5,0,0,18,25,0,1,20,0.41,37,0,16,0,2220,24,0,2,0.42,0.24
Raynaud#11428,3746,12251,2865,0,0.14,16,8,0,27,0,19,0,1,0,0,0,9101,3,1,1,1,0,0,4,7,0,0,8,0.5,14,0,8,0,720,287,0,1,0.4,0.62
Seagull#11685,2981,26383,6669,1,0.18,37,28,0,39,0,30,1,2,0,1,0,19564,5,2,1,2,1,0,4,2,0,1,18,0.5,32,0,13,0,1620,162,0,1,0.32,0.48
Gezbian#2844,2561,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,40,0,0,0,0.25,0
WitherSeed#1989,3037,1447,120,0,0.36,4,3,0,6,0,4,0,0,0,0,0,1327,1,1,0,0,0,0,2,0,0,0,0,0.46,4,0,1,0,120,0,0,0,0.42,0.6
Nikiradia#1801,2414,24281,2707,0,0.15,46,24,0,60,0,37,1,3,0,1,0,21073,5,3,1,2,0,0,20,15,0,0,12,0.47,33,0,12,0,2040,42,0,0,0.47,0.49
Strawberrys#11911,2995,4465,574,0,0.11,4,6,0,8,0,4,0,0,0,0,0,3891,1,0,0,0,0,0,2,3,0,0,4,0.45,4,0,2,0,360,0,0,0,0.41,0.91
Jaytager#1924,3068,39746,3126,1,0.2,73,40,0,94,0,62,3,4,0,1,0,36607,10,3,2,5,1,0,24,137,0,0,38,0.48,63,0,23,0,3060,481,0,13,0.43,0.28
Avengedraugt#1972,1821,26127,8864,0,0.18,45,37,0,42,0,32,2,3,0,1,0,17158,5,2,0,3,0,0,9,2,0,0,17,0.54,29,0,14,0,2040,111,3,3,0.33,0.27
SgtSlay3r#2440,2137,4303,686,0,0.11,12,6,0,7,0,2,1,1,0,0,0,3403,0,0,0,0,0,0,3,23,0,0,0,0.41,4,0,1,0,360,0,0,0,0.28,0
TrenDos#1913,3421,22495,0,0,0.16,40,21,0,56,0,34,0,2,0,2,0,0,6,2,3,2,0,0,11,27,0,0,0,0.46,30,0,17,0,1680,68,1,12,0.37,0.79
GummiWorm#11918,2304,2005,334,0,0.11,5,4,0,5,0,5,0,1,0,0,0,1671,0,0,0,0,0,0,0,0,0,0,0,0.41,3,0,3,0,240,0,0,1,0.39,0.74
Comeatme#1693,1572,1198,219,0,0.14,1,1,0,1,0,0,0,0,0,0,0,979,0,0,0,0,0,0,1,0,0,0,0,0.47,1,0,0,0,60,0,0,0,0.3,0
Prollydrunk#1493,2666,86299,14907,4,0.22,178,62,0,205,0,148,1,8,1,6,0,71247,18,5,10,4,1,0,60,65,0,0,69,0.56,155,0,59,0,3600,1323,0,24,0.49,0.79
Forten14#1796,1927,195,0,0,0,0,2,0,0,0,0,0,0,0,0,0,195,1,0,0,0,0,0,0,3,0,0,0,0.16,0,0,0,0,60,0,0,0,0.05,0.65
Chester#2158,1803,59443,6340,1,0.11,96,80,0,153,0,96,2,8,0,5,0,52470,16,7,3,6,2,0,31,156,0,1,59,0.52,54,0,26,0,3600,157,0,28,0.4,0.68
FlapJack#12911,2092,16695,1356,0,0.15,24,19,0,40,0,25,0,2,0,2,0,15122,2,1,0,1,0,0,9,21,0,1,14,0.39,22,0,7,0,1380,172,0,2,0.28,0.79
Joker#210741,1807,855,80,0,0.06,1,5,0,4,0,2,0,1,0,1,0,775,1,0,0,1,0,0,1,3,0,0,0,0.33,1,0,1,0,240,0,0,1,0.17,1.0
HIIIIGHNOON#1578,2138,14870,1838,0,0.16,22,18,0,39,0,26,1,2,0,2,0,13031,4,2,1,0,0,0,12,63,0,0,15,0.43,18,0,8,0,1440,0,0,4,0.34,0.7
ScottyPlays#2391,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1.0
RaccoonTWB#2254,2493,5898,337,0,0.14,12,5,0,16,0,9,0,1,0,0,0,5346,1,0,0,0,0,0,5,32,0,0,5,0.5,8,0,4,0,420,28,1,0,0.36,0.57
Kaesh#1697,3225,191,191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1.0,0,0,0,0,40,0,0,0,0,1.0
ArtiTP#2256,2805,100333,13623,1,0.13,171,85,0,210,0,121,6,11,1,5,0,85298,20,8,7,5,2,1,48,166,0,1,95,0.47,111,0,37,0,7200,192,7,23,0.39,0.46
Jorduk#1937,2468,835,0,0,0.4,2,2,0,4,0,2,0,0,0,0,0,835,0,0,0,0,0,0,0,0,0,0,3,0.26,2,0,2,0,120,6,0,1,0.26,1.0
jabba123#2610,3032,1312,184,0,0.08,1,4,0,2,0,2,1,1,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,2,0,180,0,0,0,0.38,0
GeneralPhone#1767,1454,114,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,1,0.09,0
Brotherlyluv#1834,2072,18535,1915,0,0.08,19,17,0,38,0,23,2,2,0,0,0,16498,6,3,1,2,0,0,15,2,0,1,9,0.51,12,0,7,0,1260,47,0,5,0.42,0.21
Dagade#11469,2507,22311,3105,0,0.14,32,20,0,40,0,24,1,2,0,1,0,19091,3,1,1,1,0,0,15,58,0,0,13,0.46,22,0,9,0,1740,39,0,5,0.42,0.64
obviouscloud#1287,3073,19919,1848,0,0.23,42,21,0,47,0,34,1,2,0,1,0,17923,6,1,2,2,0,1,17,69,0,0,18,0.53,40,0,5,0,1560,216,0,1,0.48,0.59
CsBull3n#2865,3363,65802,7936,0,0.16,127,59,0,151,0,89,3,7,0,3,0,57536,13,6,2,5,0,0,39,42,0,0,62,0.48,87,0,33,0,3600,319,0,20,0.44,0.52
CON#31617,3106,5493,506,0,0.08,10,12,0,10,0,6,1,1,0,0,0,3495,2,1,1,1,0,0,0,10,0,0,3,0.44,3,0,2,0,600,0,0,1,0.35,0
wonder#2292,4020,531802,82858,1,0.15,892,660,0,1200,0,720,34,62,2,26,0,446146,81,34,18,29,2,1,322,795,0,0,471,0.52,663,0,211,0,39600,2310,6,90,0.43,0.43
LeEmokid#1757,1670,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0.2,0
Floki97#21770,2174,692,0,0,0.16,3,2,0,0,0,0,0,0,0,0,0,692,1,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,60,0,0,0,0.46,0
Oops#22582,2819,59521,11334,2,0.22,109,86,0,121,0,94,4,7,0,3,0,47840,17,6,5,7,0,0,18,40,0,0,34,0.46,95,0,44,0,3600,192,0,7,0.4,0.4
Tiltz#11146,3498,71177,11983,1,0.12,99,81,0,142,0,83,5,7,0,2,0,58776,16,6,5,5,1,0,42,79,0,0,50,0.53,75,0,27,0,3600,247,2,1,0.47,0.34
NoAimNoBrain#1190,2421,21749,5675,0,0.22,43,35,0,38,0,28,1,3,0,2,0,16048,4,3,1,1,2,0,14,51,0,0,8,0.49,35,0,7,0,1920,25,0,1,0.38,0.6
Emperor#22346,4343,12454,1234,0,0.14,21,15,0,27,0,16,1,1,0,1,0,11120,3,1,1,1,0,0,9,5,0,0,11,0.51,14,0,9,0,900,45,0,2,0.42,0.46
iBanged#2764,3399,18903,4509,0,0.17,29,20,0,40,0,22,1,2,0,1,0,14350,4,2,0,2,0,0,7,16,0,0,9,0.47,25,0,10,0,1440,105,0,2,0.29,0.54
JarrettV2#1319,2369,1673,480,0,0.15,2,2,0,3,0,2,0,0,0,0,0,1193,0,0,0,0,0,0,1,0,0,0,0,0.48,2,0,0,0,120,0,0,0,0.3,0
Bolderbast#2408,1392,15612,0,0,0.09,37,18,0,28,0,13,2,3,1,0,0,0,5,3,1,2,0,0,7,52,0,0,0,0.45,11,0,6,0,1740,0,5,0,0.41,0.12
BernardoGO#1678,3101,3513,318,0,0.06,2,9,0,6,0,4,0,1,0,0,0,3195,1,0,0,0,0,0,2,0,0,0,0,0.62,2,0,3,0,360,0,0,0,0.59,0.61
CaptainBeard#11115,2248,677,0,0,0.28,2,1,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0.33,2,0,0,0,44,0,0,0,0.31,0
Kiseki#11603,2933,51952,8013,2,0.11,81,53,0,132,0,82,1,5,0,4,0,42863,15,5,8,2,0,0,36,66,0,0,41,0.49,56,0,33,0,3600,247,2,12,0.49,0.8
Sofancy#21809,3143,6814,1177,0,0.2,11,7,0,18,0,14,1,1,0,0,0,5536,1,1,0,1,0,0,8,17,0,0,7,0.5,10,0,6,0,480,64,0,1,0.42,0.32
BruderSimon#2162,2569,73322,8555,0,0.17,146,109,0,165,0,114,5,10,0,5,0,64237,15,4,5,6,1,1,43,76,0,0,54,0.47,116,0,28,1,3600,245,10,14,0.36,0.52
Zubadar#1739,1510,6313,1474,0,0.11,7,9,0,14,0,9,0,1,0,0,0,4788,1,1,0,0,0,0,2,0,0,0,4,0.49,5,0,1,0,660,0,0,1,0.35,0.56
Princess#21855,2167,1663,212,0,0.04,1,3,0,3,0,1,0,0,0,0,0,1439,1,1,0,0,0,0,0,8,0,0,0,0.45,1,0,0,0,120,0,0,2,0.43,0
Rolofiend#1318,1823,13,0,0,0,0,2,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0.03,0
AkhyrA#2210,3040,6643,445,0,0.23,14,4,0,15,0,10,0,1,0,1,0,6198,2,1,0,1,1,0,6,0,0,1,10,0.39,13,0,0,0,480,0,0,2,0.28,1.0
NotEeveeA#1459,2978,38717,5019,1,0.16,84,41,0,100,0,61,2,4,0,2,0,33036,8,2,5,2,1,0,23,45,0,0,34,0.52,60,0,27,0,2700,333,1,5,0.41,0.46
Haamuvee#2310,2065,95204,13418,3,0.12,147,92,0,233,0,179,6,9,0,3,0,81446,22,7,8,7,0,2,51,117,0,0,79,0.54,103,0,79,0,7200,1042,5,24,0.39,0.36
Cyndakill#21448,2217,127,90,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,25,0,0,0,0,1.0
WowABadGenji#1409,2129,32289,1169,0,0.18,68,27,0,80,0,60,2,3,0,1,0,30746,8,1,5,2,1,0,22,39,0,0,18,0.51,59,0,32,0,2040,702,0,0,0.42,0.43
Bnetplayer#239928,3246,55186,5949,2,0.2,114,61,0,138,0,95,4,7,0,3,0,48446,15,4,8,4,0,0,40,59,0,1,45,0.57,97,0,32,0,3600,382,1,12,0.46,0.43
Ostry#21497,3311,9196,0,0,0.14,19,5,0,16,0,12,0,1,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0.59,10,0,7,0,540,0,0,0,0.42,0.77
Rantanplan#22339,3122,255,0,0,0,0,1,0,1,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,48,0,0,0,0.37,0
LtCub#1944,2323,3036,426,0,0.04,1,2,0,12,0,5,0,0,0,0,0,2609,1,0,0,0,0,0,7,4,0,0,0,0.45,1,0,0,0,240,18,0,3,0.4,0
