battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,enemies_emp'd,enemies_hacked,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Effect#31823,2188,18967,2809,0,0,0,19,0,45,44,86,0,16,1,3,0,1,0,13122,9,4,1,4,2,0,17,175,24,0,0,4,0,1860,143,0,0.34,0.48
KewY#11445,2430,1093,32,0,0,0,9,0,7,1,7,0,2,0,0,0,0,0,1061,1,1,0,0,1,0,3,48,4,1,0,0,0,360,0,0,0.26,0
Vaas#21584,2539,1960,448,0,0,0,2,0,6,4,10,0,2,0,0,0,0,0,1472,1,1,0,0,0,0,2,16,3,0,0,0,0,180,17,0,0.32,1.0
Wark#2871,2544,5548,860,0,0,0,9,0,22,16,33,0,10,0,1,0,1,0,4683,0,0,0,0,0,0,10,54,10,0,0,1,0,720,0,0,0.32,1.0
DankMemes#21657,2793,2283,380,0,0,0,5,0,2,4,7,0,2,0,0,0,0,0,1803,1,0,0,1,1,0,1,6,0,1,0,2,0,300,0,0,0.34,0.07
LittleLy#11230,1003,7019,3045,0,0,0,10,0,11,8,11,0,2,2,2,0,0,0,2635,3,2,1,0,0,0,8,111,3,0,0,0,0,540,0,0,0.16,0
boombox#31793,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
WhiteRob#11258,2215,370,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,59,0,0,0.24,0
RNJesus#2780,2596,5304,87,0,0,0,9,0,16,11,22,0,6,0,1,0,0,0,2762,1,0,0,0,0,0,3,54,13,0,0,3,0,660,0,2,0.24,0.75
DankVader#21975,1844,367,240,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,127,0,0,0,0,0,0,0,14,0,0,0,0,0,60,0,0,0.2,0
Swan#21902,2381,226,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,226,1,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,0.25,0
Juice#12577,1888,2205,0,0,0,0,4,0,3,6,8,0,1,0,0,0,0,0,2205,0,0,0,0,0,0,1,17,0,0,0,0,0,180,0,0,0.4,1.0
Anarchy#1899,3158,33347,6964,1,0,0,24,0,50,59,78,0,20,2,3,0,0,0,19152,10,1,3,6,0,0,26,211,20,1,0,6,0,1980,250,0,0.33,0.19
Annexis#1765,2348,272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0.83,0
Lynix#11348,2303,7347,1268,0,0,0,9,0,16,14,24,0,5,0,1,0,1,0,6063,3,2,1,1,1,0,5,43,7,0,0,1,0,600,0,0,0.37,0.73
Alpaca#22445,2607,295590,33401,13,0,0,271,0,712,535,1118,0,311,12,31,2,17,0,212310,78,36,14,28,20,7,310,1996,382,0,2,82,1,21600,4126,27,0.38,0.59
