battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deadeye_kills,deaths,defensive_assists,eliminations,environmental_kills,fan_the_hammer_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,314630,54897,3,0.14,487,59,336,0,599,0,28,358,12,26,0,13,0,257052,70,22,19,29,13,0,184,1033,0,0,0,55,0,18000,1686,5,0.43,0.51
PapaGlitchy#2651,2409,95030,21806,1,0.09,97,25,102,0,175,0,18,87,3,7,1,3,0,72125,17,6,5,6,1,1,72,491,0,0,0,16,0,3600,611,5,0.32,0.52
Wreck#1473,4172,25517,5804,0,0.12,35,1,26,0,37,0,1,19,1,2,0,0,0,19215,6,3,1,1,0,0,22,171,0,0,0,4,0,1380,283,0,0.46,0.1
Jeremos#2358,3516,221706,0,3,0.07,220,78,182,0,499,0,21,301,7,20,2,10,0,0,51,17,17,17,6,3,149,747,0,0,0,75,0,14400,1666,0,0.49,0.53
EFFECT#31318,1958,1499,169,0,0.1,2,0,5,0,1,0,0,0,0,1,0,0,0,1330,0,0,0,0,0,0,0,12,0,0,0,0,0,180,0,0,0.27,0.27
Trigga#11180,3522,1930,290,0,0.04,1,1,2,0,7,0,0,4,0,0,0,0,0,1540,0,0,0,0,0,0,6,21,0,0,0,0,0,120,16,0,0.3,0.37
RMUTime#1606,3164,60140,14067,1,0.08,62,8,45,0,109,0,6,67,2,4,0,2,0,45846,11,3,2,5,1,0,31,135,0,0,0,9,0,3060,532,0,0.46,0.56
Lexilicious#1875,1550,20429,3660,0,0.06,14,7,30,0,60,0,13,26,2,3,0,1,0,16467,7,4,1,2,0,1,29,91,0,0,0,5,0,1800,113,0,0.4,0.26
Oppenheimer#11894,3069,62123,11216,0,0.09,70,18,59,0,123,0,0,70,3,6,0,3,0,50372,14,3,5,6,0,0,50,179,0,0,0,12,0,3600,198,0,0.44,0.51
storm#14477,2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nostrenos#1737,2220,5261,1639,0,0.1,6,0,9,0,8,0,1,5,0,1,0,0,0,3622,1,0,0,0,0,0,6,20,0,0,0,2,0,420,0,0,0.38,0.66
Lucario#21542,2887,85187,16687,0,0.07,67,38,88,0,175,0,34,110,4,7,0,4,0,67671,18,7,6,5,5,2,53,201,0,0,0,30,0,3600,430,1,0.37,0.52
Eric#16530,2188,3758,0,0,0.08,4,1,3,0,10,0,2,8,0,1,0,1,0,0,2,1,1,1,0,0,2,2,0,0,0,4,0,240,3,0,0.53,1.0
Kephrii#11655,2797,207592,42784,0,0.13,282,53,260,0,448,0,11,253,12,21,1,9,0,162694,36,17,5,14,0,4,135,666,0,0,0,46,1,14400,1193,10,0.38,0.43
Cybernator#11620,2661,4272,1301,0,0.03,1,2,7,0,9,0,3,6,0,0,0,0,0,2972,1,0,0,1,0,0,5,93,0,0,0,0,0,240,0,0,0.33,0
Crayator#11430,3190,430361,127907,5,0.09,393,93,318,0,716,0,36,376,13,28,1,13,0,298910,81,28,21,32,5,1,298,1359,0,1,0,52,0,21600,2333,4,0.37,0.49
SCOPE#11903,3580,37715,10530,0,0.12,49,9,42,0,74,0,10,38,2,4,0,1,0,27185,7,3,1,2,0,0,16,37,0,0,0,8,0,2160,138,0,0.4,0.29
Patachouwww#2974,2527,2156,690,0,0.1,2,0,3,0,1,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0.26,0
Jackey#11578,2445,31574,6953,0,0.05,23,10,23,0,65,0,5,34,1,2,0,1,0,19793,5,2,1,2,0,0,38,255,0,0,0,5,0,1800,138,1,0.44,0.4
Mom#12879,2936,15408,3672,0,0.12,18,9,11,0,35,0,1,25,0,1,0,1,0,11709,4,1,2,1,3,0,7,19,0,0,0,5,0,780,124,0,0.53,1.0
cronic#11246,3472,27161,6129,1,0.1,28,7,25,0,51,0,6,29,1,3,0,1,0,21006,7,1,2,4,0,0,18,186,0,0,0,10,0,1560,187,0,0.45,0.45
Eoii#1379,2728,49984,9998,2,0.04,35,29,44,0,107,0,17,68,2,3,0,1,0,38993,10,3,4,3,0,4,46,339,0,0,0,20,0,2580,638,1,0.48,0.42
Mariposa#31240,3446,30335,2835,0,0.1,39,5,33,0,42,0,2,24,2,3,0,0,0,27150,5,1,1,3,1,0,20,115,0,0,0,4,0,1860,132,0,0.5,0.16
Limousine#11710,2603,5417,0,0,0.07,6,2,4,0,10,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,4,0,240,0,0,0.53,0
dunk#11522,2877,62778,0,0,0.05,47,15,35,0,107,0,27,70,2,4,0,2,0,0,8,2,1,5,0,0,45,131,0,0,0,21,0,2940,313,4,0.54,0.58
BeSmart#2935,2416,3836,1066,0,0.03,2,1,6,0,4,0,0,2,0,0,0,0,0,2769,1,0,0,0,0,0,1,6,0,0,0,1,0,240,0,0,0.45,0
Casual#11993,2599,54902,13663,0,0.11,63,15,50,0,101,0,14,59,3,5,0,2,0,41002,11,4,1,6,1,1,43,129,0,0,0,9,0,3120,525,1,0.44,0.42
youngfoon#1565,1930,700894,137348,15,0.06,531,232,480,0,1512,0,473,943,32,66,1,34,0,556288,157,57,50,50,20,20,569,1564,0,0,0,298,1,43200,4446,2,0.4,0.51
neonnami#2407,2287,7368,0,0,0.08,8,4,6,0,14,0,3,10,0,1,0,0,0,0,2,1,0,0,0,0,9,47,0,0,0,1,0,480,11,0,0.46,0.61
KyRix#11196,2502,656,0,0,0.08,1,0,3,0,3,0,0,1,0,0,0,0,0,656,0,0,0,0,0,0,0,11,0,0,0,1,0,120,0,0,0.26,0
Kahre13#1640,2322,5274,1480,0,0.18,10,2,8,0,3,0,1,1,0,0,0,0,0,3794,1,1,0,0,0,0,2,13,0,1,0,1,0,300,0,0,0.45,0
ZeroSumm#1771,2185,3965,266,0,0.14,9,1,6,0,8,0,3,6,1,1,0,0,0,3698,1,0,0,1,0,0,0,18,0,0,0,2,0,360,0,0,0.32,0
oPepper#1863,2069,13519,2234,0,0.03,6,7,12,0,20,0,5,10,1,1,0,0,0,10996,4,1,2,1,0,0,12,67,0,0,0,0,0,660,68,0,0.48,0
sora#2593,1881,79045,16497,0,0.07,76,14,103,0,160,0,8,89,8,11,0,3,0,60713,13,7,3,3,1,0,42,216,0,0,0,22,0,3600,64,7,0.41,0.28
Codeg#21210,2081,16085,3240,0,0.06,13,3,20,0,26,0,0,14,1,2,0,0,0,12649,4,2,1,2,0,0,7,57,0,0,0,1,0,1200,0,0,0.38,0
Samurai#1849,1735,1250,345,0,0.11,2,0,3,0,4,0,3,2,0,0,0,0,0,905,0,0,0,0,0,0,0,3,0,0,0,1,0,120,0,0,0.3,0
Vodkajin#1911,1662,4779,373,0,0.13,9,0,3,0,15,0,2,8,0,1,0,1,0,4329,0,0,0,0,0,0,7,19,0,0,0,3,0,420,0,0,0.37,0.71
Drgalaxy#21722,2817,203383,42115,2,0.07,176,69,190,0,388,0,89,243,12,16,0,5,0,160014,37,10,12,14,5,4,129,506,0,0,0,56,0,10800,1360,9,0.43,0.28
jeremychang#3761,3193,574,434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0.2,0
Aishan#2839,2314,32572,7935,0,0.06,25,5,34,0,44,0,0,27,2,4,0,2,0,24476,10,3,2,5,1,0,19,168,0,1,0,3,0,2280,0,0,0.42,0.52
Mexi#11525,3358,174450,44946,4,0.1,193,37,89,0,297,0,7,162,4,12,0,7,0,127923,30,5,13,11,0,4,98,633,0,0,0,17,0,7200,1389,4,0.47,0.63
slin#1353,1988,3281,744,0,0.12,5,0,5,0,6,0,0,3,0,0,0,0,0,2285,1,1,0,0,0,0,1,1,0,0,0,1,0,300,0,0,0.4,0
Lorenzo#11759,2514,55153,10633,3,0.1,64,14,29,0,108,0,2,75,1,5,0,4,0,42283,13,4,6,4,2,2,37,151,0,0,0,11,0,2640,471,3,0.49,0.81
Giftasaurus#1251,2691,4313,210,0,0.09,6,3,4,0,17,0,8,15,0,1,0,1,0,4103,1,0,0,1,0,0,9,43,0,0,0,4,0,420,46,0,0.3,0.97
Unsmile#2161,2989,1219,189,0,0.13,2,0,4,0,2,0,1,2,0,0,0,0,0,1030,1,1,0,0,0,0,0,5,0,0,0,0,0,60,0,0,0.4,0
barbibus#2299,2613,1637,70,0,0.04,1,0,3,0,4,0,0,2,0,0,0,0,0,1566,1,0,0,0,0,0,2,11,0,0,0,2,0,120,0,0,0.36,1.0
Kriohn#1188,2433,484,70,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,1,3,0,0,0,0,0,60,0,0,0.3,0
Young#1382,2968,392556,0,6,0.06,369,139,375,0,807,0,236,510,14,32,2,16,0,0,79,26,30,23,4,5,281,1092,0,0,0,127,0,25200,2058,2,0.45,0.5
PiglordX#1966,3514,223271,54874,6,0.1,257,41,131,0,396,0,20,232,6,14,1,7,0,166430,34,8,17,9,1,2,142,504,0,0,0,40,0,7200,1926,3,0.49,0.52
PsychoD#2644,3000,1408,0,0,0.1,2,2,4,0,2,0,0,2,0,0,0,0,0,1408,0,0,0,0,0,0,2,0,0,0,0,0,0,120,0,0,0.47,1.0
AGK#21512,2719,237,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,6,0,0,0,0,0,60,0,0,0.19,0
SpaceBilly#2930,2163,4204,1932,0,0,0,0,5,0,4,0,1,1,0,0,0,0,0,2272,1,1,0,0,0,0,2,4,0,0,0,0,0,240,0,0,0.55,0.77
Pistola#11768,3000,239875,42010,12,0.14,371,76,171,0,555,0,3,360,5,15,0,10,0,196487,40,9,23,8,5,4,253,702,0,0,0,92,0,10800,3795,8,0.44,0.66
Jordan#12225,2162,67578,20870,1,0.07,50,18,54,0,134,0,15,91,3,6,0,3,0,46307,14,5,7,2,1,1,34,61,0,0,0,21,0,3600,422,4,0.36,0.45
Diggums#11308,3196,30200,4739,0,0.14,50,6,36,0,52,0,0,35,2,3,0,1,0,24976,8,1,2,5,0,0,22,78,0,0,0,5,0,1980,67,0,0.41,0.26
Vasso2317#1450,2281,2414,0,0,0.09,3,1,2,0,6,0,1,4,0,0,0,0,0,2414,0,0,0,0,0,0,1,7,0,0,0,1,0,120,0,0,0.26,1.0
Spasm#21748,2752,4198,0,0,0.01,1,0,2,0,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0.35,0
Angryagent#11868,2229,15954,5013,0,0.03,7,5,24,0,42,0,20,26,0,2,0,1,0,10940,2,2,0,0,0,1,16,62,0,0,0,10,0,1500,149,0,0.25,0.76
Skypo#2201,2933,15908,1979,0,0.01,5,4,24,0,31,0,20,14,1,1,0,0,0,13717,2,1,0,1,0,0,7,42,0,0,0,3,0,1140,0,0,0.49,0.16
Cr0cktopus#1859,3405,49466,12421,0,0.13,66,7,45,0,97,0,7,55,2,4,0,2,0,36344,8,4,2,2,1,0,29,181,0,0,0,15,0,3000,228,1,0.43,0.38
JOHNSON#12613,1539,8279,2848,0,0.07,6,2,10,0,9,0,3,8,1,1,0,0,0,5428,3,0,1,1,0,0,2,36,0,0,0,6,0,660,0,4,0.31,0
Dad#13514,1743,372,308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0.07,0
Atlas#11100,2560,11191,2440,1,0.14,16,4,9,0,19,0,0,5,0,1,0,0,0,8433,2,0,1,0,0,1,4,8,0,0,0,0,0,540,0,0,0.42,0.63
Cherrem#1305,2666,722,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,2,0,0,0,0,0,120,0,0,0.24,0
joebloggie#2551,3204,52770,9674,0,0.12,76,8,56,0,99,0,12,64,2,4,0,1,0,42842,10,2,3,5,0,0,30,127,0,0,0,13,0,3180,319,0,0.5,0.39
sumikfx#2269,2327,1075,70,0,0.06,1,0,4,0,1,0,0,1,0,0,0,0,0,1005,1,0,0,0,0,0,0,6,0,0,0,0,0,120,0,0,0.38,0
Darthenn#2935,2122,8285,1045,0,0.07,7,5,10,0,20,0,1,14,0,1,0,1,0,7100,2,1,1,1,1,1,14,70,0,0,0,1,0,600,59,0,0.29,0.71
Nypro#1996,4063,61132,14497,1,0.08,59,7,52,0,93,0,10,61,3,4,0,1,0,46562,12,4,3,5,1,0,22,52,0,0,0,12,0,2880,550,0,0.48,0.15
texnoz#2587,3754,264652,57702,8,0.1,363,83,178,0,551,0,2,369,5,17,0,12,0,205328,44,11,20,13,5,7,132,764,0,0,0,85,0,10800,2930,9,0.5,0.69
Phantoms#11321,2253,93533,18563,0,0.09,90,32,115,0,194,0,4,105,7,11,0,4,0,73594,26,12,5,9,5,1,74,459,0,0,0,26,2,3600,227,2,0.4,0.38
FlayvorTown#1838,2074,731,391,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,1,0,0,0,0,0,60,0,0,0.28,0
bluefiftytwo#2230,2563,29973,7225,0,0.07,34,5,27,0,54,0,4,36,1,2,0,1,0,22541,6,1,4,2,0,0,21,133,0,0,0,8,0,1620,96,0,0.6,0.43
Natedogtwist#1922,3251,21951,2843,0,0.13,33,10,26,0,50,0,2,35,2,3,0,1,0,19084,7,2,3,2,0,1,13,61,0,0,0,9,0,1800,28,0,0.41,0.27
Nafalgar#2728,3114,2930,160,0,0.14,7,0,1,0,8,0,0,6,0,0,0,0,0,2716,0,0,0,0,0,0,1,1,0,0,0,0,0,120,19,0,0.47,0
gimck#1194,2169,10876,0,0,0.18,26,3,14,0,26,0,3,16,1,2,0,1,0,0,6,3,0,2,1,0,7,27,0,0,0,4,0,900,89,0,0.48,0.36
Vivid#1911,2482,8530,1555,0,0.12,14,1,13,0,16,0,0,7,1,1,0,0,0,4874,3,1,1,0,0,0,7,17,0,0,0,3,0,660,0,0,0.37,0
Chexmix#11263,2206,655,70,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,585,0,0,0,0,0,0,1,2,0,0,0,1,0,60,0,0,0.22,0
DoctorWho#2843,2992,2508,775,0,0.16,4,0,1,0,3,0,0,3,0,0,0,0,0,1533,1,0,0,0,0,0,2,4,0,1,0,1,0,120,19,0,0.33,0
Utah#11804,1982,5064,1109,0,0.12,7,0,6,0,6,0,0,2,0,1,0,0,0,3756,2,1,1,0,0,0,2,15,0,0,0,0,0,300,6,1,0.37,0.15
Slothlife#11811,1962,1966,0,0,0.12,3,1,3,0,4,0,0,1,0,0,0,0,0,1866,1,0,1,0,0,0,0,0,0,0,0,1,0,120,0,0,0.48,0
Bry#11802,3104,262631,42123,13,0.14,420,100,145,0,587,0,39,397,5,16,0,11,0,218638,49,9,30,11,4,10,187,643,0,0,0,68,0,10800,4230,1,0.42,0.69
abilities#11376,4574,265,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0.25,1.0
DRotante#1736,2067,820,0,0,0.07,1,0,3,0,2,0,0,1,0,0,0,0,0,819,0,0,0,0,0,0,2,10,0,0,0,0,0,120,0,0,0.36,0
Stealthless#11272,3320,57439,23045,0,0.04,20,15,68,0,65,0,4,38,4,5,0,1,0,33906,9,5,1,4,0,0,21,125,0,0,0,7,0,3540,95,0,0.3,0.18
Nikkex#21517,3505,701705,142370,20,0.12,945,204,484,0,1444,0,28,951,20,51,2,29,0,553681,138,37,66,34,1,8,489,2234,0,0,0,169,0,36000,6466,7,0.45,0.58
VisAbsoluta#21404,3658,1287,206,0,0.29,5,0,2,0,0,0,0,0,0,0,0,0,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.54,0
mixe#2717,2792,131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.5,0
Fade#12531,2553,109870,34452,1,0.08,96,23,88,0,183,0,26,111,5,8,0,3,0,74863,18,8,4,6,1,0,73,475,0,0,0,18,0,3600,486,13,0.35,0.4
Barsoune#2299,3261,11424,1330,0,0.06,9,5,14,0,29,0,5,22,1,1,0,0,0,10092,3,1,3,0,0,0,13,47,0,0,0,11,0,720,219,0,0.41,0.03
Jacobonix#2278,2849,111848,23002,1,0.1,127,38,108,0,250,0,10,145,5,11,1,6,0,88210,29,11,9,9,1,3,107,608,0,1,0,29,0,3600,866,4,0.38,0.57
C3RVYT#1882,2595,43787,8037,0,0.07,37,10,61,0,95,0,9,45,3,5,0,2,0,35320,9,5,2,3,3,2,35,235,0,0,0,14,0,3540,334,0,0.45,0.45
PagChomp#1217,2931,12506,2005,0,0.16,21,2,12,0,24,0,0,12,1,2,0,1,0,10378,5,2,2,2,0,0,8,16,0,1,0,2,0,780,22,0,0.39,0.62
X69X420X69XD#1507,2098,23067,4982,0,0.08,26,4,26,0,51,0,3,38,1,2,0,0,0,18015,6,1,5,0,0,0,19,132,0,0,0,5,0,1320,361,0,0.53,0.26
Tree#12796,3157,139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.4,0
MalusPuer#11804,2637,122462,20417,1,0.05,95,42,111,0,283,0,64,188,6,12,1,5,0,99582,23,4,7,11,1,5,91,343,0,0,2,36,0,7200,1345,15,0.46,0.44
EltsuEltsu#2746,2301,43508,0,1,0.06,40,14,54,0,80,0,19,45,3,4,0,2,0,0,15,3,6,6,0,0,37,272,0,0,0,13,0,3060,355,0,0.46,0.37
reach#11534,4390,135926,23590,3,0.13,202,24,80,0,245,0,10,153,3,8,0,4,0,111458,20,4,11,5,3,2,77,195,0,0,0,20,0,3600,1417,0,0.5,0.6
MTechnik#1643,1488,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
Kingdud#1843,2799,10196,1387,0,0.1,13,2,18,0,20,0,2,9,0,1,0,1,0,8614,4,1,1,2,0,0,6,51,0,0,0,3,0,900,0,0,0.43,0.71
Lucasizq#1784,2954,106818,24392,3,0.13,149,27,110,0,187,0,24,112,5,7,0,2,0,81971,19,4,9,6,1,1,90,681,0,0,0,19,0,3600,659,0,0.45,0.31
Lubudubudu#2191,3248,396633,101854,1,0.1,445,114,363,0,789,0,123,461,18,32,1,13,0,290472,81,31,20,30,7,3,265,1305,0,0,0,107,0,21600,1632,10,0.43,0.42
dOko#11129,2626,18837,3713,0,0.08,22,3,14,0,46,0,6,26,0,1,0,1,0,15099,5,1,2,2,0,0,15,78,0,0,0,6,0,900,258,0,0.51,0.87
Dragin#1467,500,26396,0,0,0.04,18,7,38,0,43,0,8,22,1,3,0,1,0,0,5,2,1,2,0,0,11,119,0,0,0,7,0,2100,2,1,0.47,0.48
xray#2401,2820,11670,3162,1,0.06,9,2,9,0,30,0,0,14,1,1,0,1,0,8408,4,2,2,1,0,1,6,32,0,1,0,5,0,720,18,0,0.38,0.58
GandyOW#2963,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Liam#22919,3675,91604,23144,2,0.09,116,21,68,0,170,0,19,95,2,6,0,4,0,67950,18,3,9,6,4,1,60,305,0,0,0,29,0,3600,411,0,0.56,0.6
Taimou#3401,2228,73177,16349,0,0.07,65,26,74,0,131,0,8,82,5,7,0,2,0,55810,24,4,9,11,0,1,58,361,0,0,0,12,0,3600,537,2,0.39,0.3
Raynaud#11428,3746,23929,6779,0,0.08,19,5,20,0,40,0,2,21,1,2,0,1,0,17014,4,2,1,1,0,1,18,101,0,0,0,0,0,1260,33,0,0.44,0.36
cquangvu#1236,2234,22023,6678,1,0.04,11,5,15,0,45,0,7,25,1,1,0,1,0,15338,5,2,1,1,0,0,14,208,0,0,0,3,0,960,233,0,0.44,0.36
Itori#21104,2603,57770,21152,0,0.11,57,5,34,0,85,0,1,50,2,3,0,2,0,36018,7,4,1,2,0,1,22,229,0,0,0,11,0,2460,234,0,0.39,0.44
Seagull#11685,2981,52542,10508,0,0.16,90,12,59,0,89,0,1,48,2,4,0,2,0,41698,11,4,3,5,2,1,44,268,0,0,0,6,0,2940,354,0,0.39,0.5
Mentaur#21734,2704,2468,678,0,0.11,3,0,2,0,11,0,2,3,0,0,0,0,0,1719,1,1,0,0,0,0,4,12,0,0,0,1,0,180,0,0,0.27,0.18
WitherSeed#1989,3037,17207,2495,0,0.1,21,8,32,0,33,0,0,19,1,2,0,1,0,14709,6,4,1,1,0,1,9,53,0,0,0,3,0,1500,83,3,0.42,0.28
MRPMP03#2304,2263,7149,726,0,0.05,5,2,5,0,15,0,2,12,0,1,0,0,0,6153,2,0,0,1,0,0,0,8,0,0,0,6,0,420,120,0,0.43,0.65
SaltKing#11767,2517,1647,841,0,0.09,1,0,4,0,0,0,0,0,0,0,0,0,0,737,1,0,1,0,0,0,0,0,0,0,0,0,0,120,0,0,0.28,0
Nikiradia#1801,2414,87226,15468,0,0.08,89,32,73,0,180,0,22,111,3,9,0,5,0,71071,18,8,4,7,1,2,75,235,0,1,0,29,0,3600,470,1,0.45,0.6
Strawberrys#11911,2995,84044,20446,2,0.11,102,17,73,0,172,0,0,105,5,7,0,3,0,63264,19,7,8,5,2,1,55,223,0,0,0,18,0,3600,391,1,0.41,0.38
Jaytager#1924,3068,27723,4362,1,0.13,44,6,33,0,54,0,6,34,2,3,0,1,0,23152,7,3,1,3,0,0,17,99,0,0,0,10,0,2040,297,2,0.4,0.2
Tommy#14384,4011,9075,2241,0,0.13,13,2,12,0,14,0,0,9,0,1,0,0,0,6833,2,1,1,0,0,0,3,23,0,0,0,1,0,540,0,0,0.42,0.43
WolfgangIsMe#1825,2027,245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0.45,0
SgtSlay3r#2440,2137,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0.14,1.0
karo#1151,2817,19544,7323,0,0.11,21,2,21,0,17,0,2,8,3,3,0,0,0,12000,8,2,4,1,0,0,7,41,0,0,0,1,0,1020,0,0,0.47,0
TrenDos#1913,3421,21024,0,0,0.07,22,1,31,0,34,0,3,15,1,2,0,1,0,0,6,2,1,2,0,0,12,41,0,0,1,3,0,1560,25,2,0.45,0.56
GummiWorm#11918,2304,55219,16925,0,0.08,45,14,51,0,76,0,1,46,3,5,0,2,0,38221,12,7,1,5,1,1,23,183,0,1,0,13,0,3180,45,1,0.4,0.38
Comeatme#1693,1572,2578,330,0,0.14,4,0,4,0,2,0,1,2,0,0,0,0,0,2248,1,1,0,0,0,0,1,20,0,0,0,1,0,180,0,0,0.46,1.0
Prollydrunk#1493,2666,85365,13974,5,0.12,124,27,50,0,184,0,11,130,2,7,0,5,0,70498,15,3,8,4,0,0,38,107,0,0,0,34,0,3600,988,8,0.53,0.7
Forten14#1796,1927,4795,1210,0,0.03,2,3,8,0,8,0,1,4,0,1,0,0,0,3585,2,0,1,0,0,0,4,8,0,0,0,0,0,360,0,0,0.46,0.72
Chester#2158,1803,46185,5681,0,0.06,40,19,70,0,134,0,35,88,2,8,1,4,0,40449,13,6,1,6,0,0,59,310,0,0,0,25,0,3600,183,2,0.46,0.65
LudFen#2793,1959,3854,630,0,0.02,1,2,9,0,4,0,0,4,1,1,0,0,0,3156,3,1,1,1,0,0,1,16,0,0,0,2,0,420,0,3,0.31,0.03
FlapJack#12911,2092,26469,4640,0,0.11,32,11,21,0,54,0,1,32,1,2,0,1,0,21416,6,4,1,1,0,1,20,42,0,0,0,12,0,1500,48,1,0.41,0.65
RaccoonTWB#2254,2493,46573,6309,1,0.1,59,6,50,0,102,0,10,56,3,6,0,3,0,40030,13,4,4,4,0,1,37,220,0,0,0,18,0,3180,435,1,0.39,0.47
Kaesh#1697,3225,424,70,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,1,0,0,0,0,0,0,33,33,0,0.4,1.0
ArtiTP#2256,2805,11557,1459,0,0.06,10,8,16,0,25,0,2,14,1,1,0,0,0,9996,3,1,0,1,0,1,7,64,0,0,0,3,0,900,91,0,0.4,0.22
iceolator#21445,3399,908317,219181,15,0.1,966,235,604,0,1730,0,126,1016,24,60,2,35,0,678970,154,43,64,47,4,7,576,2089,0,0,0,189,0,43200,6181,14,0.5,0.59
jabba123#2610,3032,88331,22564,0,0.1,91,22,89,0,157,0,0,85,3,7,0,4,0,65191,14,5,4,5,0,1,66,276,0,0,0,7,0,3600,319,1,0.38,0.51
GeneralPhone#1767,1454,913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,60,0,0,0.41,0
Brotherlyluv#1834,2072,5406,974,0,0.1,7,1,5,0,9,0,0,7,0,0,0,0,0,4405,2,0,1,0,0,0,1,0,0,0,0,1,0,240,18,2,0.4,0
Dagade#11469,2507,20209,7774,0,0.12,20,8,23,0,34,0,1,20,1,2,0,1,0,12435,4,2,1,1,0,0,14,94,0,0,0,5,0,1260,42,0,0.37,0.62
obviouscloud#1287,3073,287619,61800,2,0.11,347,78,244,0,620,0,78,408,11,22,0,11,0,224525,60,22,18,20,5,7,211,1158,0,0,0,88,0,14400,2261,2,0.48,0.51
CsBull3n#2865,3363,396748,76884,5,0.11,512,82,399,0,754,0,31,464,16,30,1,14,0,316975,69,21,25,24,2,2,209,698,0,0,0,131,0,21600,2405,1,0.44,0.46
Doggo#12721,2854,1077,0,0,0.06,1,0,2,0,0,0,0,0,0,0,0,0,0,1077,0,0,0,0,0,0,0,3,0,0,0,0,0,60,0,0,0.42,0
CON#31617,3106,81161,13943,0,0.07,89,12,88,0,127,0,2,73,3,7,0,3,0,26442,16,5,4,7,1,0,55,320,0,0,0,17,0,3600,254,1,0.46,0.48
wonder#2292,4020,20496,4601,0,0.11,29,2,26,0,21,0,3,15,1,1,0,0,0,15893,1,0,0,1,0,0,3,12,0,0,0,2,0,1200,0,0,0.46,0
LeEmokid#1757,1670,28730,7244,0,0.08,27,8,35,0,52,0,7,25,2,3,0,1,0,21185,8,4,2,2,0,0,17,62,0,0,0,5,0,1740,230,1,0.37,0.4
CrissCros2#2891,2463,1403,209,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,1194,0,0,0,0,0,0,0,4,0,1,0,0,0,120,0,0,0.42,0
Floki97#21770,2174,2139,608,0,0,0,1,2,0,2,0,0,2,0,0,0,0,0,1407,1,1,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0.4,0
Bloodwork#21531,3322,1876,0,0,0.18,4,0,5,0,0,0,0,0,0,0,0,0,0,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0.45,0
Oops#22582,2819,162320,37210,3,0.13,220,62,143,0,316,0,27,210,7,12,0,5,0,124178,32,11,12,9,4,5,130,345,0,0,0,62,0,7200,1153,4,0.43,0.41
Tiltz#11146,3498,111532,23494,2,0.07,113,29,110,0,219,0,27,145,7,10,0,3,0,87713,24,8,9,6,2,3,55,303,0,0,0,26,0,3600,799,1,0.51,0.28
