battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deadeye_kills,deaths,defensive_assists,eliminations,environmental_kills,fan_the_hammer_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
goldbullet09#11282,2047,774,607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0.18,1.0
IRENE#31725,1874,95246,14494,5,0.11,132,18,67,0,204,0,21,129,4,10,1,6,0,79622,29,10,11,9,2,0,76,337,0,0,0,30,0,3600,1491,2,0.48,0.6
SoggyBoxers#6464,2686,22026,4928,0,0.08,20,2,25,0,28,0,2,19,1,2,0,1,0,16870,4,1,1,1,2,0,12,95,0,0,0,1,0,1200,117,0,0.48,0.46
GTT#11982,2844,55806,13168,0,0.15,92,17,52,0,116,0,12,72,1,4,0,3,0,41555,7,3,1,4,1,0,43,143,0,0,0,25,0,3420,384,3,0.41,0.68
HiImGolias#2946,2977,88310,19797,3,0.13,128,25,49,0,195,0,9,124,1,5,0,4,0,67896,14,3,6,5,3,1,54,220,0,0,0,39,0,3600,1341,2,0.51,0.87
Koslavik#2148,2239,80729,15170,3,0.13,113,27,66,0,160,0,7,91,4,7,0,3,0,64413,16,8,5,2,1,4,69,371,0,0,0,16,0,3600,743,1,0.44,0.38
Wallres#1390,2152,5646,1095,0,0.01,1,2,8,0,7,0,3,5,1,1,0,0,0,4481,4,1,2,1,0,0,6,83,0,0,0,0,0,420,18,0,0.32,0.21
geiger96#1587,3233,42065,9399,0,0.06,31,13,44,0,75,0,5,53,3,4,0,1,0,32068,7,3,4,1,3,1,25,107,0,0,0,10,0,2400,122,0,0.47,0.28
Manameme#1600,2512,90367,15050,1,0.06,74,19,104,0,160,0,26,103,5,10,0,5,0,74439,23,8,6,9,5,1,45,253,0,0,0,28,0,3600,698,7,0.35,0.47
Kai#13115,2878,6770,0,0,0.05,6,2,6,0,13,0,3,9,0,0,0,0,0,0,1,1,0,0,0,0,5,16,0,0,0,3,0,300,39,0,0.58,0
