battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_reflected,deaths,defensive_assists,dragonblade_kills,dragonblades,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
MFPxElfo#3978,3071,50314,9681,0,0.11,100,11209,58,0,10,17,108,0,56,2,6,0,4,0,40456,17,9,4,5,5,2,42,470,0,0,0,0,13,0,3600,136,0,0.23,0.64
Twitchmyman#1194,2341,106329,18561,9,0.12,208,16539,68,0,61,48,304,0,168,0,9,0,8,0,86194,26,6,11,9,2,5,86,606,0,0,0,0,52,0,3600,1499,4,0.35,0.94
Kirail#1195,2482,19893,3778,0,0.12,41,5304,31,0,2,10,33,0,18,1,2,1,1,0,16014,6,3,2,1,3,1,12,149,0,0,0,0,2,0,1860,0,1,0.25,0.43
APDO#11744,3208,1179759,261969,29,0.11,2073,166560,864,0,602,466,2724,0,1451,38,94,3,54,0,901294,220,78,70,72,96,41,975,7058,0,0,0,0,250,2,68400,7111,52,0.29,0.58
didfrush#2601,3172,15761,2913,0,0.12,32,3192,17,0,5,5,40,0,14,1,2,0,1,0,12425,4,2,1,2,0,0,17,130,0,0,0,0,6,0,960,0,0,0.31,0.61
Yoshiz8#1725,2698,85986,15801,2,0.1,147,19585,73,0,38,36,205,0,116,4,6,0,2,0,68511,21,6,8,7,11,3,78,661,0,1,0,0,27,1,3600,574,7,0.27,0.34
Nicknack#11325,2674,360612,69816,4,0.08,524,64805,353,0,162,141,851,0,441,16,34,0,17,0,284178,76,26,21,29,47,8,329,3064,0,0,0,1,74,1,21600,2005,25,0.29,0.51
Neko#1630,4070,85194,14363,2,0.09,142,14742,62,0,42,33,170,0,98,3,5,0,2,0,69770,17,4,7,6,6,4,58,650,0,0,0,0,14,0,3600,967,3,0.31,0.45
Communist25#2614,3538,368005,79086,8,0.09,515,71521,382,0,170,149,774,0,424,16,27,1,11,0,282686,70,24,26,20,26,7,237,1783,0,1,0,0,80,0,18000,3230,15,0.32,0.4
TexasRanger#11369,2202,157754,44255,1,0.09,231,21049,128,0,56,53,291,0,140,7,13,0,6,0,110219,33,12,8,14,10,3,132,1161,0,0,0,1,23,0,7200,463,8,0.22,0.49
maaz#2861,2201,85750,20524,0,0.08,135,12980,101,0,34,35,156,0,69,5,8,0,3,0,62813,18,9,3,6,4,0,47,418,0,0,0,1,15,0,3600,178,6,0.27,0.39
ReepOFF#2298,2812,27130,7217,0,0.1,39,5887,20,0,8,10,50,0,32,1,2,0,1,0,19465,5,1,2,2,2,0,12,167,0,1,0,0,12,0,1260,254,0,0.33,0.54
Lunath#11274,2209,1523,582,0,0.16,4,248,5,0,0,0,1,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0,21,0,0,0,0,0,0,180,0,0,0.19,0
SytacTears#2942,1986,59035,0,0,0.06,80,9921,101,0,16,22,120,0,65,2,6,1,4,0,0,12,7,2,4,1,1,48,530,0,0,0,1,16,0,3600,212,14,0.31,0.6
Scaler#21264,3152,291139,0,5,0.05,362,66018,204,0,128,88,594,0,266,8,18,0,10,0,0,50,22,13,15,11,14,231,1912,0,0,0,0,28,1,14400,1561,16,0.37,0.52
looselenny#2336,2703,5069,166,0,0.16,20,735,3,0,2,2,13,0,3,0,1,0,1,0,4902,1,1,1,0,1,0,2,20,0,1,0,0,0,0,300,0,0,0.33,1.0
DaMastaNinja#1799,2287,7750,2767,0,0.07,8,1527,10,0,1,3,7,0,4,1,1,0,0,0,4515,3,1,1,1,1,0,0,14,0,0,0,0,0,1,540,0,0,0.24,0.41
Crimson#22421,2531,357868,61546,9,0.11,752,55959,344,0,162,142,796,0,450,23,35,0,12,0,290512,90,33,25,32,18,8,250,1837,0,0,0,0,138,0,21600,2365,38,0.32,0.34
LazyTitan#116120,2962,170240,0,4,0.06,270,24714,169,0,55,53,323,0,164,8,13,0,5,0,0,37,13,13,12,14,3,111,845,0,0,0,0,45,1,7200,1011,31,0.34,0.38
MiggityMatt#11905,2146,5259,394,0,0.08,9,267,5,0,3,3,15,0,8,0,0,0,0,0,4764,1,1,0,0,0,0,4,48,0,0,0,0,2,0,360,0,0,0.32,0
Likenoother#2736,1561,2713,701,0,0.13,7,545,5,0,0,0,2,0,0,0,0,0,0,0,1954,1,1,0,0,0,0,2,5,0,0,0,0,0,0,240,0,1,0.25,0.54
Skindaren#2628,46,6048,0,0,0.07,10,505,10,0,1,2,13,0,4,0,0,0,0,0,0,1,1,0,0,0,0,12,62,0,0,0,0,1,0,420,0,0,0.36,0.74
eLo#21412,2223,6075,1750,0,0.1,8,692,9,0,0,2,6,0,4,1,1,0,0,0,4325,1,1,0,0,0,0,2,8,0,1,0,0,0,0,420,0,0,0.19,0
Tim#25861,2618,52484,6760,2,0.06,72,8698,37,0,23,18,83,0,46,3,4,0,1,0,44643,13,1,7,5,2,4,31,467,0,1,0,0,7,0,2640,417,1,0.35,0.28
Flux#22131,2503,22196,5662,0,0.06,26,3707,19,0,7,7,40,0,15,1,2,0,0,0,16364,5,3,0,2,1,2,18,124,0,1,0,0,2,0,1440,18,0,0.29,0.24
BotTashi#1529,2212,206442,46219,3,0.06,333,48970,208,0,74,69,465,0,214,12,19,1,6,0,154299,50,17,17,17,18,4,211,2285,0,0,0,0,32,1,14400,767,15,0.3,0.33
lolotrond#2822,1876,6703,744,0,0.05,8,574,10,0,1,2,11,0,7,0,1,0,0,0,5839,2,0,0,1,0,0,3,77,0,0,0,0,2,0,540,0,0,0.25,0.35
youngyayo#1727,4014,36235,0,1,0.1,89,3952,35,0,17,13,87,0,49,1,4,0,2,0,0,10,2,3,5,4,1,27,120,0,0,0,0,12,0,2400,146,7,0.36,0.64
Veskie#1644,2582,346231,76056,4,0.09,569,60331,334,0,136,122,754,0,383,14,30,0,15,0,264585,74,23,15,35,25,12,293,2484,0,0,0,2,67,0,21600,1644,23,0.28,0.51
EFFECT#31720,800,37831,5504,1,0.13,91,8457,72,0,23,14,116,0,65,4,7,0,3,0,31791,17,6,4,7,4,1,42,283,0,0,0,0,26,0,3600,187,3,0.2,0.39
Grimmj0w#11753,3442,11644,4160,0,0.1,18,2175,16,0,1,2,15,0,7,1,1,0,0,0,7233,4,1,2,1,0,0,7,52,0,0,0,0,2,0,780,3,0,0.28,0.29
Pikassetoi#2700,3485,28816,5327,0,0.09,49,4278,21,0,11,11,56,0,34,1,1,0,1,0,22260,4,3,1,0,5,0,14,137,0,0,0,0,8,0,1380,145,3,0.32,0.49
ThiccNinja#2663,2078,296524,65596,17,0.1,455,88041,245,0,140,116,602,0,337,14,30,0,16,0,223281,85,29,21,35,16,4,227,2178,0,0,0,0,103,0,14400,1673,13,0.24,0.54
Crash792#1160,2356,8329,2628,0,0.14,16,1513,7,0,2,3,11,0,5,0,0,0,0,0,5645,1,0,0,1,1,0,5,18,0,1,0,0,1,0,360,0,0,0.34,0
Djblurry#1295,3227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
Jpeg#1938,2572,1235,315,0,0.08,2,184,1,0,0,0,0,0,0,0,0,0,0,0,921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.28,0
NikkiBella#21736,3509,24039,6938,0,0.06,22,4783,21,0,10,9,49,0,21,1,2,0,1,0,16934,3,2,1,1,1,2,16,86,0,0,0,0,4,0,1320,146,1,0.26,0.5
Lineax#2829,3783,49798,5196,2,0.13,126,6137,42,0,24,22,119,0,70,0,4,0,3,0,44307,10,2,4,4,3,2,25,156,0,0,0,0,15,0,2580,480,0,0.38,0.92
MOLEB#2681,3522,297670,68187,9,0.1,492,51972,225,0,121,108,606,0,353,8,21,1,12,0,223457,51,10,17,24,41,9,175,1318,0,0,0,0,57,0,14400,2424,16,0.31,0.58
TrueFishman#1389,2503,5549,968,0,0.08,9,1331,10,0,2,2,10,0,5,1,1,0,0,0,4581,2,1,0,1,0,0,4,65,0,0,0,0,1,0,480,0,0,0.24,0.06
TheLegend27#1345,2407,473708,100039,19,0.08,679,130688,373,0,225,156,1171,0,583,18,44,1,26,0,365771,133,56,29,47,30,13,491,4774,0,0,0,0,120,0,28800,3762,45,0.26,0.59
Chroma#11328,2862,209540,30458,9,0.09,374,29096,125,0,127,84,536,0,347,3,14,0,10,0,173787,40,7,21,12,20,5,185,1134,0,0,0,1,91,3,7200,3414,22,0.36,0.75
Migos#11929,2570,52011,9840,0,0.08,74,9879,86,0,24,25,90,0,46,4,6,0,2,0,41667,11,6,1,4,1,1,25,308,0,1,0,0,10,0,3600,76,0,0.31,0.31
ReinTard#2177,3344,1264,0,0,0.03,1,480,6,0,0,0,2,0,1,0,0,0,0,0,468,0,0,0,0,0,0,1,15,0,0,0,0,0,0,240,0,0,0.13,0.31
bbxlol#2695,2977,10796,2769,0,0.07,16,1499,11,0,4,5,17,0,7,1,1,0,0,0,8025,3,2,1,1,0,0,3,71,0,0,0,0,1,0,720,0,0,0.28,0
Bruce#12453,4003,175,0,0,0.2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,175,1,0,0,0,0,0,1,68,0,0,0,0,0,0,60,0,0,0.27,1.0
Ax1aL1501#2352,2406,35469,0,0,0.07,56,5533,39,0,16,14,87,0,45,2,3,0,0,0,0,7,2,2,3,0,2,34,263,0,0,0,0,15,0,2400,128,2,0.36,0.13
DotelerX#1664,2076,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
RossQC#2977,2360,4926,1103,0,0.11,8,922,6,0,4,2,12,0,8,0,1,0,0,0,3486,1,0,0,1,0,0,4,19,0,1,0,0,2,0,300,19,1,0.23,0.54
jak116#21173,2244,7394,3161,0,0.07,6,1252,7,0,2,2,2,0,2,1,1,0,0,0,3861,1,0,0,1,0,0,1,52,0,1,0,0,1,0,360,0,0,0.37,0
XEtal#11609,3888,40597,8239,1,0.11,81,6263,36,0,11,12,88,0,47,3,4,0,1,0,31885,10,4,4,2,5,0,24,242,0,0,0,0,8,0,2520,246,0,0.27,0.17
BazzaGazza#1519,1846,87656,0,1,0.08,152,18274,117,0,30,37,153,0,76,7,10,0,3,0,0,22,8,5,9,3,1,58,514,0,0,0,0,22,1,3600,125,9,0.32,0.28
Rtataco#1637,2275,120,0,0,0,0,245,1,0,0,0,1,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,1.0
