battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,dragonstrike_kills,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scatter_arrow_kills,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Wreck#1473,4172,1891,1440,0,0,0,1,0,0,1,0,0,0,0,0,0,0,452,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,120,0,0,0.08,0
Jeremos#2358,3516,45969,0,0,0.08,33,46,0,13,100,0,61,2,4,0,2,0,0,10,5,2,3,1,1,35,89,0,0,0,16,0,19,0,3120,629,0,0.27,0.39
RMUTime#1606,3164,25462,5833,1,0.05,10,13,0,7,45,0,29,1,1,0,0,0,19145,4,1,1,2,0,0,15,16,0,0,17,16,0,6,0,1080,301,2,0.34,0.06
DarkLight#12251,1895,4107,0,0,0.12,4,3,0,1,9,0,5,0,0,0,0,0,4107,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,240,38,0,0.23,0
xFunStyle#2648,2450,25018,3982,0,0.1,20,15,0,7,46,0,32,0,1,0,1,0,21031,3,1,1,1,0,1,17,33,0,0,13,17,0,12,0,1260,136,0,0.27,0.69
Oppenheimer#11894,3069,170258,54380,5,0.06,78,100,0,46,243,0,158,7,11,0,4,0,112757,25,8,10,7,1,3,84,412,0,0,57,82,0,48,1,7200,657,3,0.25,0.36
storm#14477,2704,6690,2044,0,0.09,4,9,0,0,10,0,9,0,1,0,0,0,4646,2,0,0,1,0,0,1,6,0,0,5,3,0,5,0,420,53,0,0.19,0.63
Lucario#21542,2887,33689,6017,0,0.05,15,23,0,14,65,0,46,2,3,0,0,0,27169,8,1,2,4,0,0,16,95,0,0,11,23,0,12,0,1680,489,0,0.33,0.13
freakintiger#2668,3644,7227,4260,0,0.11,3,6,0,1,8,0,5,0,0,0,0,0,2887,1,0,1,0,0,0,1,5,0,0,3,2,0,1,0,180,19,0,0.17,0
Kephrii#11655,2797,92145,17242,0,0.08,61,122,0,18,203,0,155,6,10,0,4,0,74299,18,8,5,6,1,2,60,216,0,0,65,70,0,54,0,3600,486,1,0.25,0.39
Snake#11194,2280,1807,0,1,0.06,1,1,0,0,3,0,2,0,0,0,0,0,1807,1,1,0,0,0,0,1,0,0,0,2,2,0,1,0,120,0,0,0.21,1.0
Thermite#11202,2304,57980,15096,0,0.06,27,32,0,25,119,0,79,1,4,0,3,0,40691,12,2,4,6,0,3,58,473,0,1,19,43,0,18,0,3000,513,2,0.29,0.64
SCOPE#11903,3580,1835,724,0,0.09,1,3,0,0,1,0,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,0,0.14,0
Patachouwww#2974,2527,1531,593,0,0.14,1,3,0,0,2,0,1,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,120,0,0,0.11,0
Jackey#11578,2445,7165,2852,0,0.05,3,6,0,2,4,0,3,0,0,0,0,0,4313,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,300,0,0,0.3,0
cronic#11246,3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Eoii#1379,2728,49791,17818,0,0.04,19,26,0,15,65,0,40,1,4,1,2,0,30735,9,4,2,3,0,1,28,218,0,0,11,18,0,8,0,2160,375,3,0.33,0.75
Mariposa#31240,3446,18190,2960,0,0.05,8,10,0,4,40,0,24,1,1,0,1,0,14810,3,1,1,1,1,1,10,38,0,0,15,15,0,4,0,900,298,0,0.23,0.49
Limousine#11710,2603,698,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0.28,0
dunk#11522,2877,33461,0,0,0.06,18,25,0,6,48,0,26,1,3,0,2,0,0,6,2,1,3,0,0,16,41,0,0,0,20,0,6,0,2040,89,0,0.22,0.6
Casual#11993,2599,90435,28441,0,0.05,35,62,0,14,134,0,94,3,6,0,3,0,58196,15,7,3,5,3,1,48,290,0,0,35,58,0,23,0,3600,516,15,0.29,0.54
youngfoon#1565,1930,1054727,222081,20,0.05,430,623,0,272,2074,0,1415,52,84,1,31,0,804025,208,63,81,65,13,8,618,3974,0,0,725,796,0,444,2,57600,9284,73,0.21,0.37
neonnami#2407,2287,695,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,60,0,0,0.1,0
oPepper#1863,2069,4123,790,0,0.06,2,5,0,1,13,0,6,0,1,0,1,0,3257,0,0,0,0,0,0,6,9,0,0,11,3,0,1,0,360,0,0,0.2,1.0
sora#2593,1881,56170,11459,2,0.05,29,37,0,14,91,0,58,2,4,1,2,0,42767,6,2,3,1,1,2,39,104,0,0,25,30,0,15,0,3120,311,2,0.26,0.55
Samurai#1849,1735,179058,54440,2,0.06,78,131,0,49,256,0,160,7,12,1,3,0,121021,29,7,12,9,1,3,96,401,0,0,77,74,0,48,0,7200,1317,5,0.25,0.32
Drgalaxy#21722,2817,127675,38131,3,0.09,76,97,0,36,195,0,127,5,9,0,5,0,88938,21,8,9,4,0,2,63,436,0,0,35,54,0,39,0,3600,917,2,0.25,0.5
Mexi#11525,3358,80886,24342,1,0.08,41,56,0,10,98,0,67,2,4,0,2,0,55623,9,1,5,3,1,0,21,127,0,0,32,31,0,12,0,3300,368,4,0.25,0.43
Giftasaurus#1251,2691,10431,1591,0,0.07,7,8,0,2,22,0,15,1,1,0,0,0,8718,2,2,0,0,0,0,7,27,0,1,8,7,0,2,0,660,46,0,0.21,0
Unsmile#2161,2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
barbibus#2299,2613,30064,7035,0,0.06,15,29,0,3,36,0,21,2,3,0,1,0,22811,7,3,3,2,1,0,17,61,0,0,14,16,0,7,0,1920,23,1,0.18,0.39
Young#1382,2968,29947,0,0,0.06,18,21,0,7,58,0,29,0,3,1,2,0,0,7,5,2,0,0,1,21,59,0,0,0,14,0,4,0,1860,21,0,0.21,0.67
DiBeiper#2870,2429,743,91,0,0,0,1,0,0,3,0,1,0,0,0,0,0,652,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,40,0,0,0.21,1.0
SpaceBilly#2930,2163,872,252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,57,0,0,0.2,0
Pistola#11768,3000,8900,3021,0,0.06,4,9,0,1,14,0,10,0,1,0,0,0,5862,2,0,1,0,0,0,1,5,0,0,5,8,0,4,0,480,59,0,0.24,0.41
ogba#1552,1805,4654,2057,0,0.13,3,4,0,1,5,0,3,0,0,0,0,0,2597,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,240,0,0,0.16,0
Vandl#11159,2255,61205,14732,2,0.05,24,41,0,21,117,0,79,2,5,0,3,0,46464,12,5,4,4,3,1,56,238,0,1,19,34,0,18,0,3300,738,0,0.22,0.63
Jordan#12225,2162,131624,31016,4,0.06,68,70,0,34,273,0,172,4,12,0,8,0,97994,26,7,11,8,0,2,114,682,0,0,82,74,0,50,1,3600,1445,7,0.21,0.67
Diggums#11308,3196,41369,14565,0,0.09,23,23,0,7,63,0,44,2,3,0,2,0,26165,7,3,1,3,0,0,17,46,0,0,19,19,0,12,0,1980,161,4,0.23,0.47
Spasm#21748,2752,1250,0,0,0.18,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0.33,0
Alerion#21958,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1.0
Atlas#11100,2560,2896,1098,0,0.44,4,2,0,0,3,0,3,0,0,0,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,60,0,0,0.19,0
joebloggie#2551,3204,32219,7702,0,0.08,19,39,0,7,50,0,26,2,3,0,0,0,24493,6,2,2,3,1,1,16,84,0,0,18,15,0,6,0,1920,130,0,0.25,0.12
texnoz#2587,3754,83306,21842,1,0.05,40,44,0,31,182,0,119,1,5,0,4,0,59904,14,4,5,5,2,5,66,279,0,0,52,51,0,22,0,3600,1363,8,0.33,0.75
Phantoms#11321,2253,24847,5919,0,0.06,11,15,0,7,50,0,34,0,2,0,2,0,18826,6,2,2,1,0,0,16,39,0,0,15,13,0,9,0,1440,185,0,0.23,0.96
gimck#1194,2169,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0.27,0
Vivid#1911,2482,37234,4681,0,0.08,29,30,0,5,39,0,23,1,3,0,1,0,4666,3,2,1,1,0,0,15,67,0,0,1,8,0,9,0,1800,22,0,0.36,0.52
Chexmix#11263,2206,2821,860,0,0.05,1,4,0,0,4,0,2,0,0,0,0,0,1909,1,0,0,0,0,0,1,3,0,0,0,1,0,1,0,120,0,0,0.17,0
Utah#11804,1982,338,250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44,0,0,0.08,0
Bry#11802,3104,75531,14626,2,0.07,43,40,0,21,151,0,110,1,4,0,3,0,59788,12,2,8,2,1,1,49,207,0,0,29,47,0,19,0,3000,887,2,0.27,0.75
DRotante#1736,2067,826,125,0,0,0,2,0,0,1,0,1,0,0,0,0,0,701,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,120,0,0,0.09,0
Stealthless#11272,3320,880,229,0,0,0,4,0,0,1,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,120,0,0,0.08,0
Nikkex#21517,3505,105151,32668,0,0.1,66,76,0,24,182,0,110,4,7,0,3,0,71607,17,6,8,3,0,1,47,395,0,0,42,46,0,27,0,3600,585,1,0.23,0.39
VisAbsoluta#21404,3658,2998,534,0,0.12,3,2,0,1,6,0,5,0,0,0,0,0,2440,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,120,18,0,0.31,0
mixe#2717,2792,798,367,0,0,0,1,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0.12,1.0
Fade#12531,2553,5578,0,0,0.06,4,3,0,1,15,0,13,1,1,0,0,0,5570,1,1,0,0,0,0,7,34,0,0,5,5,0,1,0,480,103,0,0.19,0
Barsoune#2299,3261,4955,1657,0,0.13,3,4,0,1,5,0,3,0,0,0,0,0,3298,1,0,0,0,0,0,0,0,0,0,7,2,0,2,0,240,0,0,0.13,0
JazuKnight#2709,1370,1668,125,0,0.22,2,3,0,2,4,0,4,1,1,0,0,0,1543,1,0,0,1,0,0,1,5,0,0,0,1,0,3,0,240,0,0,0.06,0
C3RVYT#1882,2595,2355,572,0,0.04,1,3,0,0,6,0,4,0,0,0,0,0,1783,0,0,0,0,0,0,3,33,0,0,1,3,0,0,0,180,7,0,0.21,1.0
Tree#12796,3157,426,0,0,0.16,1,0,0,0,1,0,1,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,1,0.23,0
reach#11534,4390,33663,9838,0,0.05,13,13,0,9,70,0,51,1,2,0,1,0,23623,5,1,2,2,1,0,11,122,0,0,25,22,0,7,0,1500,237,0,0.23,0.42
BennyPK#1546,2258,118418,30219,2,0.04,36,96,0,32,186,0,120,4,8,0,4,0,87410,27,12,7,8,2,2,65,486,0,1,47,52,0,32,0,3600,658,0,0.25,0.48
Cloky#2828,2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Lubudubudu#2191,3248,234723,65593,2,0.07,115,155,0,47,397,0,262,8,17,1,8,0,166404,45,13,14,17,1,4,144,710,0,0,119,132,0,63,0,10800,1877,12,0.22,0.49
GandyOW#2963,3300,3951,2249,0,0.09,1,8,0,0,2,0,1,1,1,0,0,0,1702,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,240,0,0,0.1,0
Taimou#3401,2228,789,112,0,0,0,2,0,0,1,0,1,0,0,0,0,0,676,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,120,0,0,0.13,0.74
Itori#21104,2603,2817,1341,0,0.11,2,3,0,0,3,0,2,0,0,0,0,0,1476,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,120,0,0,0.16,0
Seagull#11685,2981,48110,15904,0,0.11,29,42,0,13,59,0,46,3,4,0,1,0,31902,10,1,4,5,3,1,20,98,0,1,15,18,0,13,0,2100,355,0,0.21,0.17
Mentaur#21734,2704,2430,671,0,0.04,1,2,0,1,4,0,3,0,0,0,0,0,1759,1,1,0,0,0,0,1,4,0,0,1,3,0,0,0,120,0,0,0.33,0
MRPMP03#2304,2263,2427,531,0,0.1,1,2,0,1,3,0,3,0,0,0,0,0,1831,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,120,0,0,0.2,1.0
SaltKing#11767,2517,810,0,0,0.11,1,2,0,0,4,0,4,0,0,0,0,0,810,2,0,1,1,0,0,0,0,0,0,0,2,0,4,0,120,0,0,0.42,0
Nikiradia#1801,2414,54884,15446,0,0.08,31,35,0,15,85,0,55,2,4,0,1,0,38114,9,2,4,3,0,2,29,277,0,0,6,22,0,11,0,2640,191,2,0.26,0.33
Tommy#14384,4011,2173,619,0,0,0,2,0,0,2,0,1,0,0,0,0,0,1554,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,120,0,0,0.27,0
Avengedraugt#1972,1821,16982,4575,0,0.06,7,17,0,1,13,0,11,1,1,0,0,0,12290,2,0,1,1,0,0,6,77,0,1,3,4,0,4,0,840,0,0,0.28,0
cylot#3134,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TrenDos#1913,3421,1089,0,0,0.16,2,0,0,0,5,0,4,0,0,0,0,0,0,1,1,1,0,0,0,3,9,0,0,0,0,0,0,0,120,0,0,0.13,1.0
Comeatme#1693,1572,5505,1368,0,0.04,2,5,0,1,6,0,1,0,0,0,0,0,4137,0,0,0,0,0,0,1,32,0,0,0,2,0,1,0,300,0,0,0.25,0
Prollydrunk#1493,2666,233739,54724,9,0.07,121,120,0,71,429,0,320,4,14,0,10,0,176709,38,9,21,7,3,4,136,387,0,0,113,142,0,84,0,7200,2556,4,0.3,0.69
Chester#2158,1803,64393,15747,3,0.09,39,60,0,15,145,0,89,4,10,0,5,0,47802,17,7,5,5,0,2,62,282,0,0,32,48,0,23,0,3600,464,0,0.17,0.57
LudFen#2793,1959,32569,6950,1,0.07,21,30,0,5,41,0,22,1,3,0,1,0,24639,7,5,1,1,0,0,16,64,0,0,19,21,0,11,0,1860,315,4,0.21,0.47
FlapJack#12911,2092,9721,1805,0,0.12,5,6,0,4,8,0,6,1,1,0,0,0,7914,1,1,1,0,0,0,0,10,0,0,1,1,0,1,0,300,34,0,0.22,0
Joker#210741,1807,9899,4039,0,0.09,4,8,0,2,13,0,7,0,1,0,1,0,5763,1,0,0,1,0,0,3,12,0,0,3,1,0,3,0,420,18,0,0.16,1.0
RaccoonTWB#2254,2493,7486,1314,0,0.05,3,6,0,2,15,0,7,0,1,0,0,0,6058,1,0,0,0,0,0,11,69,0,0,7,6,0,3,0,480,27,0,0.21,0.7
Kaesh#1697,3225,3783,1815,0,0.05,1,2,0,1,3,0,3,0,0,0,0,0,1907,1,0,0,0,0,0,2,21,0,0,0,1,0,1,0,120,0,0,0.22,1.0
Jorduk#1937,2468,8444,4386,0,0.11,4,4,0,1,17,0,7,0,0,0,0,0,4058,0,0,0,0,0,0,9,37,0,0,6,3,0,2,0,360,16,0,0.14,1.0
jabba123#2610,3032,9857,2545,0,0.06,5,14,0,1,16,0,10,1,1,0,0,0,7312,3,0,2,1,0,0,4,58,0,0,6,11,0,3,0,840,0,0,0.21,0
GeneralPhone#1767,1454,5551,0,0,0.09,4,5,0,1,13,0,11,0,1,0,1,0,0,3,1,0,2,0,0,4,38,0,0,0,0,0,2,0,480,0,0,0.16,0.64
Brotherlyluv#1834,2072,1597,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1587,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,120,0,0,0.28,0
Brendie#1370,2523,15121,6703,0,0.05,4,10,0,1,8,0,5,1,2,0,0,0,7826,3,1,1,1,0,0,2,3,0,0,6,2,0,3,0,660,0,0,0.21,0.21
Dagade#11469,2507,29761,9822,1,0.04,8,22,0,9,49,0,34,1,3,0,1,0,18824,7,2,1,3,0,1,24,172,0,0,6,17,0,12,0,1800,203,3,0.22,0.53
obviouscloud#1287,3073,25468,6624,0,0.1,15,14,0,8,40,0,24,1,2,0,1,0,17271,5,3,1,1,0,1,16,129,0,0,9,10,0,2,0,1140,188,2,0.25,0.52
CsBull3n#2865,3363,202937,49492,1,0.09,130,162,0,37,362,0,236,5,13,1,8,0,149825,29,13,4,12,6,1,101,297,0,0,89,82,0,52,0,7200,1262,8,0.28,0.62
CON#31617,3106,3172,0,0,0.09,2,8,0,3,10,0,5,1,1,0,0,0,148,1,0,1,0,0,1,4,5,0,0,0,3,0,4,0,420,55,0,0.17,0.08
wonder#2292,4020,21215,8879,0,0.07,7,16,0,6,21,0,13,2,2,0,0,0,12086,3,1,2,1,0,0,15,13,0,0,2,8,0,3,0,900,19,0,0.22,0
LeEmokid#1757,1670,2799,646,0,0.09,2,5,0,0,2,0,0,0,0,0,0,0,2152,1,1,0,0,0,0,2,29,0,0,1,0,0,0,0,180,0,0,0.14,0
iRottan#2729,2051,950,125,0,0,0,2,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,0.21,0
Floki97#21770,2174,2540,918,0,0.05,1,1,0,1,2,0,2,0,0,0,0,0,1622,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,60,0,0,0.36,0
Oops#22582,2819,145951,44196,1,0.06,64,110,0,33,209,0,147,6,11,1,4,0,98573,27,8,10,9,1,1,60,377,0,0,82,87,0,42,1,7200,1040,17,0.25,0.35
Tiltz#11146,3498,6520,623,0,0.07,4,7,0,4,14,0,10,0,0,0,0,0,5714,1,1,0,0,0,1,2,49,0,0,1,2,0,0,0,420,45,1,0.22,0.65
NoAimNoBrain#1190,2421,94127,18126,2,0.07,57,101,0,31,164,0,108,4,7,0,3,0,74439,14,5,6,3,1,2,65,348,0,0,38,57,0,26,0,3600,982,2,0.3,0.37
Emperor#22346,4343,17693,4234,0,0.06,8,13,0,8,34,0,25,1,1,0,0,0,13337,4,1,2,1,0,1,12,58,0,0,6,13,0,8,0,840,158,0,0.29,0.14
iBanged#2764,3399,9240,3499,0,0.03,2,6,0,4,14,0,9,0,1,0,0,0,5741,2,1,1,0,1,0,7,9,0,0,10,6,0,1,0,420,3,0,0.2,0.54
Bolderbast#2408,1392,3847,0,0,0.18,6,2,0,0,6,0,4,0,1,0,1,0,0,1,0,0,1,0,0,3,3,0,0,0,0,0,2,0,360,0,0,0.22,0.94
BernardoGO#1678,3101,673,0,0,0.16,1,2,0,0,2,0,2,0,0,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,0,0.42,0
Kiseki#11603,2933,36674,10855,0,0.01,8,31,0,5,82,0,51,1,3,0,2,0,25249,11,4,4,3,0,0,34,294,0,0,24,32,0,16,0,2040,727,16,0.33,0.67
Sofancy#21809,3143,8770,2140,0,0.02,2,5,0,0,11,0,6,0,0,0,0,0,6629,1,0,1,0,0,0,3,3,0,0,0,2,0,2,0,300,18,0,0.32,0.73
MKindberg#2529,3001,61460,17738,1,0.09,33,53,0,12,109,0,72,3,6,0,3,0,42447,17,4,5,8,0,1,43,239,0,0,32,30,0,12,0,3480,180,7,0.19,0.52
Princess#21855,2167,10624,3883,0,0.03,3,7,0,1,12,0,8,1,1,0,0,0,6436,2,0,1,1,0,0,2,17,0,0,5,3,0,1,0,600,0,1,0.24,0.2
AkhyrA#2210,3040,591154,118826,20,0.07,329,427,0,117,1191,0,810,14,43,1,28,0,464436,119,30,49,40,5,6,387,1598,0,0,290,399,0,232,0,28800,6772,14,0.25,0.66
Haamuvee#2310,2065,2483,125,0,0.09,2,4,0,0,3,0,1,0,0,0,0,0,2107,0,0,0,0,0,0,2,4,0,0,1,0,0,1,0,240,0,1,0.27,0.65
Tree#1177,2903,1599,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1599,1,0,0,0,0,0,1,9,0,0,0,2,0,1,0,60,0,0,0.22,0
WowABadGenji#1409,2129,150757,25432,6,0.07,86,100,0,49,286,0,218,5,11,0,6,0,123159,29,4,15,10,4,2,73,310,0,1,70,115,0,71,0,7200,1930,2,0.28,0.56
Bnetplayer#239928,3246,457,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.22,0
Ostry#21497,3311,10223,0,0,0.07,7,9,0,2,12,0,8,0,1,0,1,0,0,3,2,1,1,0,0,5,4,0,0,0,4,0,0,0,600,0,0,0.2,0.52
Rantanplan#22339,3122,234337,63153,2,0.09,151,186,0,58,422,0,281,12,17,0,6,0,169110,47,18,11,17,3,2,155,1369,0,0,111,122,0,68,0,10800,2644,3,0.24,0.32
LtCub#1944,2323,495,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.09,0
evilshadow#11459,2663,13352,2731,1,0.1,10,11,0,3,24,0,18,0,1,0,1,0,10520,4,1,2,1,0,0,10,69,0,0,2,9,0,5,0,600,43,0,0.28,0.81
LeGrosdu06#2233,2622,19535,7665,0,0.07,8,9,0,5,29,0,17,0,1,0,1,0,11868,3,1,0,1,0,0,10,20,0,0,7,10,0,4,0,780,133,0,0.23,0.82
Broken#21371,1504,1169,0,0,0.14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.16,0
River#12168,2383,11820,4729,0,0.05,5,8,0,7,13,0,9,0,1,0,1,0,6820,2,1,0,0,0,1,0,16,0,0,9,3,0,4,0,540,60,1,0.25,0.67
limit#22601,2709,14257,6818,0,0.03,2,9,0,0,4,0,3,1,1,0,0,0,7439,4,1,1,2,0,0,2,1,0,0,3,0,0,0,0,540,0,0,0.2,0
munkeydung#1290,2444,1618,600,0,0,0,2,0,0,6,0,2,0,0,0,0,0,1012,1,0,0,1,0,0,3,6,0,0,2,2,0,0,0,120,0,0,0.26,0
NotSwitching#1709,3074,9034,625,0,0.06,5,9,0,2,14,0,8,0,1,0,1,0,8409,3,1,0,1,0,1,6,88,0,0,2,4,0,0,0,540,38,0,0.26,0.66
Chanysmodex#2219,2531,14518,3360,0,0.07,10,22,0,1,17,0,12,2,2,0,0,0,11086,5,2,0,3,0,0,4,27,0,0,2,7,0,6,0,1140,18,6,0.26,0
PooDooSki#1424,2082,2648,0,0,0,0,2,0,2,6,0,5,0,0,0,0,0,2427,1,0,0,0,0,0,3,8,0,0,1,3,0,3,0,120,19,1,0.28,0
Seahorse#11154,2753,61344,14957,1,0.06,31,30,0,18,119,0,90,1,4,0,3,0,45999,10,1,5,4,0,1,39,189,0,0,27,43,0,26,0,2760,1069,0,0.26,0.84
MeTiRambo#21370,2863,67881,21555,1,0.07,35,56,0,11,107,0,66,3,6,0,2,0,45209,12,5,3,4,2,0,45,280,0,0,20,36,0,17,0,3600,268,5,0.26,0.44
MFD22#2605,3127,42313,5965,0,0.05,20,48,0,8,72,0,49,3,4,0,1,0,35047,7,2,1,3,2,0,15,54,0,0,25,27,0,11,0,2460,336,0,0.28,0.32
Arkavin#1601,3117,17404,3716,1,0.14,18,10,0,10,47,0,29,0,1,0,1,0,13632,2,1,1,1,0,1,26,112,0,0,6,8,0,7,0,900,356,1,0.22,0.6
Muramasa#21925,1920,49488,13565,0,0.1,38,66,0,14,90,0,55,6,8,0,2,0,35099,10,4,2,4,0,3,34,211,0,0,18,26,0,15,0,3600,245,3,0.23,0.28
JarGibbo#1115,3077,36308,7302,1,0.07,23,23,0,9,68,0,41,1,2,0,1,0,29006,5,2,2,1,2,2,15,177,0,0,19,17,0,8,0,1680,268,0,0.28,0.5
Renegader#2393,2409,3890,459,0,0.12,4,5,0,0,6,0,5,0,1,0,0,0,3277,1,0,0,1,0,0,0,5,0,0,2,2,0,0,0,360,0,0,0.16,0.85
SHOTGUN2HEAD#1497,3279,20738,6801,0,0.06,9,18,0,2,24,0,18,1,1,0,0,0,13285,3,1,0,1,0,0,2,10,0,0,7,13,0,3,0,900,0,2,0.22,0
EoNZ#1671,2265,5217,1301,0,0.07,3,3,0,0,7,0,3,1,1,0,0,0,3916,0,0,0,0,0,0,1,6,0,0,1,3,0,1,0,180,0,0,0.31,0
PROXY#22557,2066,43019,9978,1,0.03,15,42,0,10,56,0,34,3,3,0,0,0,27707,8,2,4,3,0,1,24,46,0,0,12,13,0,12,0,2640,117,0,0.25,0.09
Farufaru#1552,2384,3900,2617,0,0.15,2,3,0,0,4,0,4,0,0,0,0,0,1283,1,1,0,0,0,0,1,0,0,0,2,1,0,2,0,180,0,0,0.1,0.67
limux#21859,4300,78000,25925,2,0.07,37,77,0,18,132,0,101,4,7,0,3,0,51156,15,4,5,6,1,1,29,190,0,0,47,53,0,34,0,3600,506,0,0.26,0.41
RobertTheCat#11679,2455,19521,6727,0,0.07,13,30,0,0,26,0,17,3,4,0,0,0,12255,5,2,1,2,0,0,5,141,0,0,1,4,0,3,0,1620,18,1,0.23,0.11
Rammoose#1622,1656,130723,39788,1,0.08,66,99,0,31,197,0,137,7,14,0,7,0,90042,27,7,12,8,1,3,81,176,0,0,29,39,0,41,0,7200,726,0,0.21,0.49
empty#11732,1972,92009,25612,0,0.04,30,86,0,30,126,0,73,4,7,0,2,0,64284,16,6,5,5,1,0,60,518,0,0,47,42,0,20,0,3600,103,6,0.23,0.32
Jeroeneey#2379,3121,9859,3641,0,0.01,1,7,0,2,20,0,10,0,1,0,0,0,6109,2,2,0,0,1,0,4,2,0,0,6,6,0,5,0,480,39,0,0.16,0.52
HrSebfie#2338,1663,49966,10532,1,0.07,29,46,0,14,113,0,78,1,4,0,2,0,39129,11,3,1,7,1,2,51,313,0,0,11,33,0,18,0,3360,337,0,0.19,0.63
Noah#13435,3429,61196,21457,0,0.07,28,36,0,14,78,0,52,3,5,0,3,0,39554,10,2,3,5,2,1,27,170,0,0,22,28,0,14,0,2820,315,8,0.21,0.46
AionX#11177,2176,4188,1136,0,0.03,1,5,0,0,4,0,3,1,1,0,0,0,3051,1,0,1,1,0,0,0,0,0,0,2,2,0,2,0,240,0,0,0.16,0
nICOL#2296,2558,1091,791,0,0,0,1,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0.16,1.0
Dryen#2109,2888,3553,1581,0,0.05,1,2,0,0,5,0,3,0,0,0,0,0,1972,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,120,0,0,0.23,0
