battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,dragonstrike_kills,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scatter_arrow_kills,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
MechNL#2221,2358,11149,4398,0,0.06,3,4,0,4,9,0,8,1,1,0,0,0,6621,0,0,0,0,0,1,3,36,0,0,1,2,0,1,0,300,18,5,0.29,0.13
Clorox#11272,2023,30180,3423,2,0.12,28,33,0,8,46,0,33,3,3,0,0,0,24895,8,3,5,0,0,1,22,106,0,1,12,12,0,13,0,2040,207,5,0.2,0
Kikurri#1224,2839,9853,2948,0,0.07,6,9,0,1,19,0,13,0,1,0,1,0,6766,1,0,0,1,0,0,7,15,0,1,7,9,0,2,0,480,27,0,0.29,0.83
Legend#14319,2474,650,575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0.05,0
WOUTER#2111,2165,54343,24643,0,0.06,16,29,0,18,62,0,41,2,3,0,1,0,29005,8,2,3,2,1,2,24,135,0,1,25,19,0,4,0,2340,225,2,0.18,0.19
Naraknight#1382,2587,2893,583,0,0.12,2,2,0,3,8,0,5,0,0,0,0,0,2210,1,0,1,0,0,0,5,1,0,0,2,2,0,3,0,60,38,0,0.3,0
Exra#1120,2734,6338,2218,0,0.1,5,12,0,1,12,0,6,1,1,0,0,0,4002,1,0,0,0,0,0,3,14,0,0,0,5,0,0,0,660,0,1,0.13,0.3
StarBurns#21253,3382,11216,4104,0,0.07,5,8,0,2,12,0,6,0,1,0,0,0,7112,1,0,1,0,0,0,5,3,0,0,5,5,0,1,0,480,0,0,0.19,0.6
NekoNathan#1198,2694,109243,25653,0,0.06,55,69,0,19,200,0,138,3,8,0,6,0,80971,17,6,4,7,1,0,65,632,0,0,66,81,0,41,0,3600,798,5,0.26,0.67
Senpaii#21799,2952,37608,11388,0,0.09,26,34,0,1,60,0,42,2,3,0,1,0,25915,7,2,2,3,1,0,17,122,0,0,28,20,0,15,0,2100,269,0,0.2,0.27
Sora#13119,2613,9603,1768,0,0.07,6,18,0,2,14,0,10,1,1,0,0,0,7833,0,0,0,0,0,0,5,119,0,0,5,4,0,5,0,900,47,0,0.25,0.03
Immanuel#21292,3520,92919,16968,2,0.08,64,58,0,19,171,0,122,2,6,1,2,0,75092,15,4,6,4,2,3,53,129,0,0,47,55,0,26,0,3600,1163,1,0.25,0.48
Majin#11890,3000,54626,0,0,0.04,23,33,0,12,81,0,52,1,3,0,2,0,0,7,2,2,4,0,0,27,82,0,0,0,30,0,18,0,2460,333,4,0.32,0.7
TurnAround#11565,2550,51383,10453,1,0.06,26,25,0,13,94,0,66,1,2,1,0,0,40367,7,2,2,3,1,1,30,97,0,0,22,30,0,14,0,2280,390,1,0.25,0.25
NicoMakiOTP#21858,2260,591,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,591,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,60,0,0,0.22,1.0
hfc#11538,1860,1743,1075,0,0,0,3,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.42,0
Yazzy#11969,3237,2533,700,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1833,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,60,0,0,0.18,0
Aimbotcalvin#3248,1828,526659,81730,21,0.09,379,273,0,177,1271,0,948,37,57,0,20,0,432268,102,25,52,25,14,12,277,661,0,0,355,343,2,383,0,28800,8080,35,0.29,0.34
Joshy#11299,1456,338,338,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1.0
Hartles1#1703,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1.0
Lost#21372,3572,17198,1065,1,0.08,12,17,0,4,53,0,40,0,1,0,1,0,16133,3,1,1,1,3,1,15,73,0,1,17,18,0,8,0,1020,364,0,0.24,1.0
Thetinball#1395,2800,4177,2595,0,0.07,1,5,0,0,1,0,0,0,0,0,0,0,1581,1,0,0,0,0,0,0,16,0,0,1,0,0,0,0,240,0,0,0.1,0
