battletag,SR,all_damage_done,barrier_damage_done,blizzard_kills,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,enemies_frozen,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,self_healing,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,16222,2903,14,0,0.21,27,6491,14,0,63,23,0,28,0,2,0,2,0,11986,5,3,0,2,5,1,18,115,13,0,1698,0,3,0,1080,255,1,0.31,0.99
Jeremos#2358,3516,58152,0,52,2,0.16,88,73496,56,0,187,90,0,74,3,7,1,2,0,0,23,8,8,7,7,4,61,543,0,0,8789,0,19,0,3600,1018,1,0.38,0.36
EFFECT#31318,1958,912,518,0,0,0.2,1,234,2,0,2,0,0,1,0,0,0,0,0,395,1,0,0,0,0,0,1,9,0,0,229,0,0,0,120,0,0,0.16,0
Trigga#11180,3522,456,0,0,0,0,0,1150,2,0,0,2,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,13,0,0,153,0,0,0,60,0,0,0.62,0
RMUTime#1606,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1.0
Lexilicious#1875,1550,78497,19972,45,2,0.11,57,68725,91,0,221,151,0,69,5,11,1,6,0,56767,29,16,4,9,0,3,118,1056,47,0,10693,0,15,0,7200,188,3,0.34,0.54
Oppenheimer#11894,3069,22928,5291,15,0,0.18,27,19034,29,0,78,46,0,29,1,2,0,1,0,17604,6,2,1,3,0,1,23,114,15,0,2654,0,8,0,2040,234,0,0.3,0.35
JoseM0#1230,2763,549,201,0,0,0,0,2185,2,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,6,0,0,42,0,0,0,60,0,0,0.18,0
Nostrenos#1737,2220,491,300,0,0,0,0,628,1,0,1,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,116,0,0,0,50,0,0,0.5,0.88
EibeMandel#2274,3054,866,0,0,0,0,0,2132,5,0,1,2,0,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,180,0,0,0.28,0
Narehop#2417,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Lucario#21542,2887,19334,2346,14,0,0.22,31,11802,16,0,52,44,0,21,1,2,0,1,0,16839,4,1,1,2,1,0,21,143,12,0,2648,0,2,0,1440,120,0,0.37,0.51
freakintiger#2668,3644,11381,1597,7,0,0.26,25,3659,19,0,35,16,0,17,2,2,0,0,0,9782,4,1,0,3,0,1,12,125,9,0,1531,0,7,0,1140,159,0,0.31,0
Eric#16530,2188,1834,0,0,0,0.13,2,1305,2,0,3,5,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,10,0,0,234,0,0,0,60,0,0,0.51,0
Thermite#11202,2304,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1.0
SCOPE#11903,3580,432,32,0,0,0,0,316,0,0,2,0,0,1,0,0,0,0,0,400,0,0,0,0,0,0,1,3,0,0,0,0,0,0,40,0,0,0.8,0
Jackey#11578,2445,34894,12158,18,1,0.09,37,23862,29,0,67,39,0,26,2,4,0,2,0,22717,12,3,4,5,0,0,34,260,16,0,3283,0,5,0,2520,290,0,0.4,0.45
BrokenSpecs#1812,1962,1618,473,3,0,0,0,5204,6,0,5,7,0,0,0,1,0,0,0,1075,2,1,0,1,0,0,4,9,1,0,140,0,0,0,360,0,0,0.21,0.6
Eoii#1379,2728,9953,1164,10,0,0.16,13,5235,11,0,33,24,0,12,0,1,0,1,0,8757,3,0,0,2,1,0,18,121,11,0,1267,0,0,0,960,40,0,0.28,1.0
Mariposa#31240,3446,668,11,0,0,0,0,1022,1,0,1,3,0,1,0,0,0,0,0,656,0,0,0,0,0,0,0,3,0,0,150,0,0,0,55,0,0,0.83,0.14
Limousine#11710,2603,17600,0,15,0,0.11,18,9300,28,0,50,33,0,21,2,2,0,0,0,0,6,3,0,2,1,0,20,153,12,0,2235,0,4,0,1620,150,0,0.37,0.15
dunk#11522,2877,9058,0,4,0,0.12,11,11819,13,0,21,18,0,7,1,1,0,0,0,0,3,0,1,1,0,0,8,117,0,0,1376,0,3,0,720,20,0,0.38,0
BeSmart#2935,2416,934,225,0,0,0.1,1,829,2,0,1,1,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,1,0,190,0,0,0,60,0,0,0.27,0
Casual#11993,2599,59361,9745,35,1,0.25,95,40201,62,0,165,143,0,60,2,7,0,4,0,49176,19,10,3,7,3,2,81,437,52,0,7160,0,8,0,3600,601,0,0.37,0.68
neonnami#2407,2287,49658,0,24,1,0.15,62,36327,66,0,140,107,0,46,3,5,0,2,0,0,16,5,5,6,3,1,81,919,0,0,9147,0,10,0,3600,838,1,0.36,0.43
OVER#31636,2438,972,32,2,0,0.4,2,1884,3,0,3,2,0,1,0,0,0,0,0,909,1,0,0,0,0,0,3,18,1,0,336,0,0,0,60,0,0,0.31,0.16
oPepper#1863,2069,3197,1490,2,0,0,0,1338,4,0,4,4,0,0,0,0,0,0,0,1699,1,0,1,0,0,0,3,49,1,0,465,0,0,0,240,0,0,0.35,0.23
sora#2593,1881,7672,338,1,0,0.16,10,6423,9,0,21,20,0,14,0,1,0,1,0,6663,1,0,0,1,0,0,0,34,2,0,1471,0,6,0,660,215,0,0.42,0.59
Codeg#21210,2081,379,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,379,0,0,0,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0.66,0
Drgalaxy#21722,2817,78638,13570,56,4,0.17,100,47797,102,0,224,139,0,86,4,11,0,7,0,63937,26,13,8,5,0,5,94,776,54,0,8824,0,18,0,3600,721,6,0.31,0.61
PatateDouce#21802,2218,83,83,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,27,0,0,0,1.0
Rabite#1465,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
jeremychang#3761,3193,2069,143,2,0,0.27,5,2370,2,0,7,3,0,2,0,0,0,0,0,1926,1,0,0,0,0,0,0,1,0,0,313,0,0,0,180,0,0,0.4,0
Aishan#2839,2314,1180,110,0,0,0,0,1195,6,0,1,2,0,0,0,0,0,0,0,1069,1,0,0,0,0,0,0,1,1,0,628,0,0,0,180,0,0,0.28,0.14
Mexi#11525,3358,5959,889,2,0,0.24,10,1944,3,0,23,11,0,8,0,1,0,1,0,5070,2,0,0,2,1,0,13,80,7,0,338,0,2,0,420,21,0,0.39,0.78
Lorenzo#11759,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.0
Giftasaurus#1251,2691,5900,828,0,0,0.26,10,2815,8,0,7,14,0,3,1,1,0,0,0,5072,2,2,0,0,1,0,1,28,1,1,1088,0,2,0,540,39,0,0.36,0.19
Kriohn#1188,2433,16539,4205,10,0,0.2,15,32427,29,0,50,41,0,13,1,3,0,2,0,12286,10,4,3,3,2,0,32,403,14,0,4164,0,0,0,2040,99,0,0.21,0.64
Young#1382,2968,50832,0,49,1,0.15,64,56373,56,0,149,92,0,29,3,7,1,3,0,0,17,9,3,5,0,2,50,303,0,0,6574,0,8,0,3600,99,0,0.34,0.43
PiglordX#1966,3514,716,0,0,0,0,0,291,1,0,3,1,0,2,0,0,0,0,0,716,0,0,0,0,0,0,2,12,0,1,205,0,2,0,60,0,0,0.61,0
Tizzu#2323,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Pistola#11768,3000,1297,300,0,0,0,0,202,2,0,0,0,0,0,0,0,0,0,0,997,0,0,0,0,0,0,0,2,0,0,109,0,0,0,60,0,0,0.31,0
ogba#1552,1805,1051,301,2,0,0,0,5319,4,0,4,2,0,0,0,0,0,0,0,750,2,0,1,0,0,0,4,33,1,0,325,0,0,0,180,0,0,0.32,1.0
Vandl#11159,2255,10617,2852,7,0,0.14,9,8677,12,0,28,25,0,6,0,1,0,1,0,7676,2,1,0,1,0,1,12,39,13,0,992,0,1,0,900,42,0,0.29,0.68
Jordan#12225,2162,2510,257,0,0,0.18,4,3575,5,0,3,3,0,0,1,1,0,0,0,2252,1,0,0,1,0,0,1,9,0,0,367,0,0,0,240,0,0,0.3,0
Diggums#11308,3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.0
Vasso2317#1450,2281,1478,75,0,0,0.1,2,396,0,0,8,1,0,4,0,0,0,0,0,1402,2,0,0,2,1,0,2,80,0,1,116,0,2,0,120,0,0,0.26,1.0
Spasm#21748,2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
Skypo#2201,2933,2357,0,3,0,0.5,4,1948,3,0,11,13,0,3,0,0,0,0,0,2332,1,1,0,0,0,0,4,19,5,0,364,0,0,0,300,0,0,0.23,0.99
JOHNSON#12613,1539,251,155,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,82,0,0,0,39,0,0,0.11,0
Atlas#11100,2560,3578,927,2,0,0.22,5,3768,2,0,16,10,0,5,0,1,0,0,0,2646,2,1,1,1,0,0,9,52,2,0,480,0,1,0,360,32,0,0.21,0.07
Looty27#2606,2663,1431,629,0,0,0,0,1953,2,0,4,5,0,0,0,0,0,0,0,702,1,0,0,0,0,0,3,26,1,0,438,0,0,0,120,0,0,0.3,1.0
Cherrem#1305,2666,2809,1140,2,0,0.05,1,2717,2,0,7,3,0,4,0,0,0,0,0,1626,0,0,0,0,0,0,0,0,2,0,138,0,0,0,300,19,0,0.18,1.0
joebloggie#2551,3204,4780,997,0,0,0.15,6,7698,9,0,6,9,0,4,0,0,0,0,0,3326,1,1,0,0,0,0,2,24,1,0,695,0,0,0,420,0,2,0.44,0.28
texnoz#2587,3754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Xolotl#21414,2849,19127,3675,11,0,0.26,23,25535,37,0,46,50,0,16,1,3,0,1,0,15194,7,2,1,5,1,1,28,387,20,0,4637,0,2,0,2220,139,0,0.3,0.52
Natedogtwist#1922,3251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1.0
Nafalgar#2728,3114,97,29,0,0,0,0,665,1,0,1,1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,1,5,0,0,0,0,0,0,31,0,0,0,0
gimck#1194,2169,9692,0,3,0,0.11,10,9778,15,0,33,22,0,12,1,2,0,1,0,0,4,1,0,3,0,0,16,140,0,0,1448,0,3,0,1200,64,1,0.43,0.45
Chexmix#11263,2206,4458,1318,2,0,0.75,9,4200,9,0,7,12,0,5,0,1,0,0,0,3140,2,1,0,1,0,0,4,55,3,0,683,0,0,0,480,0,0,0.31,0.54
DoctorWho#2843,2992,7579,1366,7,0,0.17,10,3200,7,0,25,9,0,8,0,1,0,0,0,6213,2,1,0,0,0,0,17,67,5,0,796,0,3,0,540,64,0,0.32,0.74
Utah#11804,1982,1038,490,0,0,0,0,959,2,0,2,1,0,0,0,0,0,0,0,546,0,0,0,0,0,0,2,5,0,0,151,0,0,0,60,0,0,0.27,0
Slothlife#11811,1962,18309,5233,9,1,0.16,16,17431,30,0,44,36,0,14,1,2,0,1,0,12918,9,4,3,2,0,0,23,297,12,0,2942,0,4,0,1740,22,0,0.27,0.4
Bry#11802,3104,17,0,0,0,0,0,598,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,122,0,0,0,22,0,0,0,0
kojo#21147,1601,2007,202,3,0,0.33,4,1229,1,0,10,5,0,4,0,0,0,0,0,1781,1,0,0,1,0,1,2,78,2,0,418,0,1,0,180,14,0,0.27,1.0
Stealthless#11272,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Nikkex#21517,3505,991,645,0,0,0.2,1,0,0,0,1,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0.1,0
mixe#2717,2792,132,0,0,0,0,0,219,1,0,0,1,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
Fade#12531,2553,442,5,0,0,0,0,180,2,0,2,2,0,0,0,0,0,0,0,431,0,0,0,0,0,0,1,8,1,0,39,0,0,0,50,0,0,0.33,1.0
Barsoune#2299,3261,9877,1997,7,1,0.33,21,8855,12,0,23,19,0,14,0,1,0,1,0,7826,2,0,1,1,0,0,6,32,4,1,2067,0,9,0,720,88,0,0.29,0.65
Jacobonix#2278,2849,53,9,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,3,0,0,131,0,0,0,44,0,0,0,1.0
C3RVYT#1882,2595,3610,1175,1,0,0.09,2,3709,9,0,9,7,0,3,0,1,0,0,0,2436,2,1,0,0,0,0,6,21,0,0,580,0,1,0,420,4,0,0.27,0.71
BennyPK#1546,2258,616,75,0,0,0.5,2,103,2,0,2,1,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,6,0,0,35,0,0,0,60,0,0,0.5,0.26
Kingdud#1843,2799,17867,4968,12,0,0.29,23,19135,27,0,53,43,0,14,1,2,0,2,0,12785,7,3,0,3,0,0,12,102,21,0,2481,0,1,0,1680,80,0,0.34,0.68
Lucasizq#1784,2954,4062,1302,1,0,0.27,6,4682,4,0,7,6,0,1,0,0,0,0,0,2725,1,1,0,0,1,0,2,16,2,0,396,0,0,0,300,13,0,0.32,0.76
Berslythe#6821,2827,4629,1327,0,0,0.22,7,3559,6,0,8,7,0,5,1,1,0,0,0,3298,2,1,0,0,1,0,3,65,2,0,991,0,0,0,420,0,0,0.32,0
Baranks#2395,2263,184,0,0,0,0,0,1130,1,0,0,1,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,10,0,0,0,0,0,0,60,0,0,0.33,0
Lubudubudu#2191,3248,8591,4762,3,0,0.16,7,2850,10,0,13,3,0,3,1,1,0,0,0,3829,3,1,1,2,0,0,2,110,2,0,1266,0,1,0,600,0,0,0.27,0.0
Dragin#1467,500,377551,0,222,9,0.17,519,228406,449,0,1363,776,0,498,22,49,0,27,0,0,141,52,42,46,12,16,602,4826,0,0,53734,0,117,0,39600,1382,47,0.32,0.55
DaiMa#2879,2544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1.0
pronigy#1474,2654,7912,1693,12,1,0.31,5,7814,14,0,34,35,0,10,0,1,0,1,0,6098,5,0,2,3,0,2,19,189,13,0,1198,0,1,0,1140,176,0,0.24,0.7
Taimou#3401,2228,225,27,0,0,0,0,3181,2,0,0,1,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,8,0,0,172,0,0,0,60,0,0,1.0,0
Seagull#11685,2981,1870,0,1,0,0.4,6,1811,3,0,5,2,0,2,0,0,0,0,0,1870,1,0,0,0,1,0,1,7,1,1,78,0,0,0,120,0,0,0.22,0.79
WitherSeed#1989,3037,131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0.4,1.0
MRPMP03#2304,2263,319,144,0,0,0,0,1104,1,0,1,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,72,0,0,0,56,0,0,1.0,0
Strawberrys#11911,2995,6726,1546,3,0,0.15,5,6752,9,0,23,19,0,6,0,1,0,1,0,5161,2,0,1,0,0,0,13,98,7,0,717,0,0,0,720,49,0,0.39,0.67
Sky2610#1881,2371,2767,289,2,0,0.28,4,8198,9,0,11,7,0,3,0,0,0,0,0,2478,1,0,1,0,0,0,8,55,3,0,472,0,1,0,420,38,0,0.34,0.31
Tommy#14384,4011,1629,316,2,0,0.3,3,1151,2,0,6,4,0,4,0,0,0,0,0,1313,0,0,0,0,0,0,3,2,2,0,142,0,0,0,120,16,0,0.2,1.0
Avengedraugt#1972,1821,12572,3314,4,0,0.18,16,8435,18,0,31,19,0,12,1,2,0,0,0,9172,4,2,1,1,0,1,12,119,6,0,1922,0,3,0,1140,0,2,0.3,0.24
cylot#3134,2464,1123,592,0,0,0,0,365,2,0,1,1,0,0,0,0,0,0,0,531,0,0,0,0,0,0,1,17,0,0,103,0,0,0,120,0,0,0.18,0.89
karo#1151,2817,8583,1171,2,0,0.29,17,11982,13,0,28,20,0,9,1,1,0,0,0,7405,4,1,2,1,0,0,19,136,6,0,1235,0,2,0,900,25,0,0.33,0.32
TrenDos#1913,3421,3476,0,2,0,0,0,2647,5,0,6,7,0,2,0,1,0,0,0,0,2,1,1,0,0,0,4,70,0,0,232,0,0,0,300,0,2,0.4,0.56
Prollydrunk#1493,2666,182,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,150,0,0,0,29,0,0,0.66,0
Chester#2158,1803,7208,1302,4,0,0.15,6,9141,10,0,16,25,0,6,1,1,0,0,0,5898,3,1,0,1,1,0,7,88,8,0,1781,0,2,0,720,148,2,0.44,0.44
Hairio#2500,2269,353,0,0,0,0.33,1,381,1,0,0,1,0,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,93,0,0,0,60,0,0,0.16,0
FlapJack#12911,2092,2475,1407,0,0,0,0,6667,4,0,5,2,0,1,0,0,0,0,0,1068,1,0,0,1,0,0,5,32,1,0,296,0,0,0,180,0,0,0.44,0
ForGranite#1950,1939,824,299,0,0,0,0,2425,3,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,10,0,0,186,0,0,0,120,0,0,0.29,0
RaccoonTWB#2254,2493,274348,50094,178,11,0.2,446,177867,241,0,730,441,0,278,12,28,0,17,0,220514,81,37,24,20,4,13,382,3160,192,0,27127,0,41,1,18000,3326,16,0.32,0.58
Odnum#2569,2334,2121,447,0,0,0.11,2,493,3,0,4,3,0,1,1,1,0,0,0,1273,1,1,0,0,0,0,2,45,2,0,171,1,0,0,240,0,1,0.48,0
ArtiTP#2256,2805,13797,2808,7,0,0.28,24,4684,17,0,35,27,0,12,1,1,0,0,0,10987,2,1,0,1,0,0,10,113,10,1,1572,0,1,0,1080,0,0,0.29,0.01
iceolator#21445,3399,143,0,0,0,0.5,1,0,1,0,2,0,0,2,0,0,0,0,0,143,0,0,0,0,0,0,1,5,0,0,57,0,0,0,38,0,0,0.28,1.0
PatrickLai#11943,1905,5068,687,3,0,0.14,6,1864,2,0,17,8,0,8,0,0,0,0,0,4365,1,1,0,0,0,0,8,39,2,0,307,0,0,0,420,27,0,0.39,1.0
jabba123#2610,3032,141,29,0,0,0,0,3363,1,0,0,1,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,9,0,0,81,0,0,0,35,8,0,0,0
Brotherlyluv#1834,2072,3004,982,0,0,0.2,3,5131,11,0,7,3,0,2,0,1,0,0,0,2021,2,1,1,1,0,0,4,51,2,0,695,0,0,0,360,0,0,0.23,0.37
Brendie#1370,2523,97138,25908,56,0,0.22,123,62512,150,0,282,196,0,82,10,16,0,5,0,69648,41,17,9,15,2,2,101,987,84,0,18292,0,16,0,7200,365,1,0.3,0.34
Dagade#11469,2507,2607,984,0,0,0.42,3,1673,5,0,2,9,0,0,0,0,0,0,0,1619,1,1,1,0,0,0,0,10,2,0,381,0,0,0,240,0,0,0.43,0.5
obviouscloud#1287,3073,33943,8406,15,1,0.22,51,17786,49,0,82,52,0,30,1,4,0,2,0,25211,11,5,2,4,0,2,34,223,21,0,3250,0,5,0,3240,423,0,0.32,0.65
CsBull3n#2865,3363,26614,1703,14,1,0.25,65,17713,22,0,84,33,0,45,1,2,0,2,0,24743,6,2,2,2,0,2,24,104,9,0,3377,0,13,0,2040,395,1,0.4,0.68
Getlit#11182,3221,208,0,0,0,0.5,1,1024,0,0,1,0,0,1,0,0,0,0,0,208,0,0,0,0,0,0,1,0,0,0,30,0,1,0,13,0,0,0.66,0
CON#31617,3106,72508,14893,54,3,0.14,90,57683,97,0,217,150,0,64,5,8,1,2,0,51256,23,9,6,8,5,3,113,944,68,0,12856,0,9,0,3600,783,0,0.36,0.3
LeEmokid#1757,1670,9324,2953,8,0,0.2,10,3926,10,0,27,17,0,8,1,1,0,0,0,6332,3,0,0,2,0,0,13,106,8,0,938,0,0,0,660,210,0,0.3,0
iRottan#2729,2051,64651,10683,14,1,0.21,106,30675,69,0,157,129,0,64,4,9,0,5,0,53669,25,12,3,10,0,0,53,373,40,0,5665,0,19,0,3600,183,2,0.3,0.53
CrissCros2#2891,2463,2016,76,1,0,0.17,3,1680,2,0,11,4,0,3,0,0,0,0,0,1920,1,0,0,0,1,0,9,40,1,0,172,0,2,0,120,20,0,0.53,0
Floki97#21770,2174,214,59,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,153,1,0,0,0,0,0,0,0,0,0,38,0,0,0,60,0,2,0.06,0
Oops#22582,2819,4589,1570,5,0,0.17,6,1709,1,0,13,2,0,3,0,0,0,0,0,3019,0,0,0,0,0,1,7,53,2,1,249,0,0,0,180,27,0,0.39,0.0
NoAimNoBrain#1190,2421,2899,725,2,0,0.3,4,1462,6,0,12,11,0,5,0,1,0,1,0,2075,1,1,0,0,0,0,5,29,5,0,471,0,1,0,360,0,0,0.19,0.88
iBanged#2764,3399,3695,1989,0,0,0.05,1,5296,6,0,3,2,0,1,0,0,0,0,0,1631,1,0,0,0,0,0,1,21,0,0,241,0,0,0,240,0,0,0.3,0.7
Bolderbast#2408,1392,14305,0,10,0,0.09,10,15700,25,0,46,31,0,13,2,4,0,2,0,0,8,4,1,3,0,2,21,208,0,0,2697,0,2,0,2280,40,2,0.28,0.57
BernardoGO#1678,3101,97,0,0,0,0,0,669,2,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,5,0,0,150,0,0,0,50,0,0,0,0
Kiseki#11603,2933,15348,2216,13,1,0.18,18,19819,29,0,54,43,0,16,1,2,0,1,0,13124,10,2,4,4,0,1,32,317,19,0,2919,0,4,0,1740,233,0,0.31,0.52
Sofancy#21809,3143,4768,1527,0,0,0.29,8,3864,4,0,8,3,0,4,0,0,0,0,0,3239,0,0,0,0,0,0,5,41,0,0,403,0,0,0,300,0,0,0.25,0.0
BruderSimon#2162,2569,8853,606,3,0,0.16,13,12032,11,0,28,16,0,10,1,1,0,0,0,8168,5,2,2,1,0,0,14,120,5,0,1540,0,1,0,780,37,0,0.34,0.02
MKindberg#2529,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Kasin#1523,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rolofiend#1318,1823,54752,16335,31,2,0.09,20,77175,78,0,187,152,0,53,6,11,0,5,0,37774,28,13,5,9,1,0,89,872,47,0,13126,0,8,0,7200,299,8,0.17,0.49
koralee#11753,1571,4602,1421,3,0,0.31,7,0,7,0,11,6,0,6,0,0,0,0,0,3141,1,1,1,0,0,0,4,27,3,0,495,0,1,0,360,0,0,0.19,0
NotEeveeA#1459,2978,4420,1287,2,0,0.39,11,1579,5,0,6,4,0,3,0,0,0,0,0,3033,1,0,1,0,0,0,3,19,1,0,442,0,1,0,240,0,0,0.7,0.92
Haamuvee#2310,2065,13902,3328,5,0,0.14,12,14638,23,0,32,25,0,11,2,2,0,1,0,10208,8,4,2,2,1,0,16,199,9,1,2425,0,3,0,1440,65,0,0.4,0.25
Cyndakill#21448,2217,133,131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,1.0
PixelFox#11610,2051,1601,878,0,0,0.16,1,1225,1,0,7,1,0,2,0,0,0,0,0,638,0,0,0,0,0,0,0,0,1,0,267,0,0,0,180,0,0,0.33,1.0
WowABadGenji#1409,2129,3643,0,0,0,0.11,5,3460,2,0,11,2,0,7,0,1,0,1,0,3638,2,1,0,0,0,0,5,64,1,0,256,0,1,0,300,0,0,0.38,1.0
Bnetplayer#239928,3246,365,90,0,0,0,0,195,1,0,1,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0.33,0
Ostry#21497,3311,2295,0,0,0,0.13,3,2031,3,0,8,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,6,12,0,0,379,0,2,0,120,13,0,0.54,0.35
Rantanplan#22339,3122,1746,9,0,0,0.21,4,2015,6,0,5,2,0,0,0,0,0,0,0,1737,1,0,0,0,0,0,5,61,1,0,362,0,0,0,240,0,0,0.3,0.34
CYPRESS#11862,3437,29,0,0,0,0,0,538,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,91,0,0,0,20,0,0,0,0
chelsea#31937,2552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0
Luan#12689,2005,9277,2427,7,0,0,0,394,31,0,42,32,0,7,2,3,0,0,0,6491,4,3,1,1,0,1,20,173,13,0,1450,0,0,0,1980,18,4,0.4,0.15
LeGrosdu06#2233,2622,616,0,0,0,0.14,1,1771,1,0,2,1,0,1,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,41,0,0,0,60,0,0,0.21,0
River#12168,2383,2125,665,1,0,0.18,3,903,9,0,17,4,0,5,1,1,0,0,0,1460,2,1,1,1,0,0,9,71,2,0,652,0,1,0,420,48,0,0.29,0
limit#22601,2709,3682,500,2,0,0.16,6,1520,0,0,10,5,0,6,0,0,0,0,0,3036,2,1,1,0,0,0,5,29,2,0,450,0,3,0,240,58,0,0.33,0
munkeydung#1290,2444,922,158,0,0,0.12,1,1449,3,0,2,3,0,2,0,0,0,0,0,763,0,0,0,0,0,0,1,0,0,0,333,0,0,0,120,0,0,0.47,0
NotSwitching#1709,3074,915,778,0,0,0,0,2004,2,0,0,1,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,6,0,0,133,0,0,0,60,0,0,0.25,0
Chanysmodex#2219,2531,114,0,0,0,0,0,489,1,0,2,0,0,1,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,29,0,0,0,49,0,0,0,0
PooDooSki#1424,2082,225,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.66,0
