battletag,SR,all_damage_done,barrier_damage_done,blizzard_kills,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,enemies_frozen,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,self_healing,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
BigMike#1617,3831,2714,572,0,0,0.1,2,3872,6,0,3,5,0,1,0,0,0,0,0,2061,2,0,0,1,0,0,2,40,0,0,276,0,0,0,300,0,0,0.29,0.56
Vanilla#11112,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.0
Gxllows#1643,1789,3902,267,2,0,0.17,5,3900,10,0,14,7,0,5,1,1,0,0,0,3544,1,0,0,1,0,0,2,21,2,0,612,0,3,0,540,0,0,0.22,0.2
srm#2252,1751,25219,9643,13,0,0.06,16,30399,30,0,67,41,0,17,0,4,2,2,0,15043,10,5,3,2,0,0,38,426,15,0,2044,0,0,1,2400,45,7,0.4,0.99
Angelus10000#1962,1537,236,0,0,0,0.25,1,205,0,0,1,0,0,1,0,0,0,0,0,236,0,0,0,0,0,0,1,28,0,0,0,0,0,0,51,0,0,0.4,0
Raize#21373,3455,545,334,0,0,0,0,671,1,0,3,0,0,2,0,0,0,0,0,211,0,0,0,0,0,0,2,19,0,1,314,0,0,0,60,0,0,0.09,0
ishii#21138,3825,938,145,0,0,0.2,1,175,3,0,4,3,0,2,0,0,0,0,0,794,0,0,0,0,0,0,1,15,1,0,239,0,0,0,120,0,0,0.19,0
uNKOE#1778,4094,673,75,0,0,0,0,1331,2,0,0,0,0,0,1,1,0,0,0,598,0,0,0,0,0,0,0,0,0,0,150,0,0,0,240,0,0,0.28,0
FilompiusC#2251,2584,12703,0,10,0,0.11,12,15157,16,0,42,35,0,14,1,1,0,1,0,0,4,3,0,1,0,1,17,154,0,0,1748,0,1,0,1200,106,0,0.36,0.41
Defibulater#11395,2549,4323,0,3,0,0.22,6,6073,9,0,15,13,0,5,0,1,0,0,0,0,1,1,0,0,0,0,8,121,0,0,289,0,2,0,660,22,0,0.28,0.42
iBang#21126,3461,0,0,0,0,0,0,360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,150,0,0,0,31,0,0,0,0
KRUSHER99#2293,3747,1027,2,0,0,0.07,1,2151,3,0,2,0,0,1,0,0,0,0,0,1025,0,0,0,0,0,0,2,21,0,0,196,0,0,0,120,0,0,0.38,0.61
jonathanjg#1702,1749,28709,3632,24,1,0.21,47,22049,27,0,86,67,0,39,1,5,0,4,0,24558,12,6,0,6,1,2,39,323,30,0,4397,0,5,0,2580,641,2,0.36,0.76
RamenWizard#1526,2262,23115,5858,8,2,0.13,30,9601,12,0,58,30,0,24,1,3,0,2,0,16847,7,4,1,3,0,2,18,127,13,0,1157,0,3,0,1380,248,1,0.42,0.77
LethalFun#11510,3159,7107,1227,3,0,0.27,15,5016,12,0,10,9,0,4,1,1,0,0,0,5855,1,0,0,1,0,0,4,33,4,0,282,0,0,0,600,67,0,0.4,0
Evinsong#1353,2098,3273,1230,0,0,0.16,3,2723,3,0,7,3,0,2,0,0,0,0,0,1767,1,1,0,0,0,0,6,60,1,0,268,0,0,0,180,0,0,0.29,1.0
nabboboy#2257,2104,923,0,1,0,1.0,2,1680,4,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,99,0,0,0,180,0,0,0.2,0
TickenStips#2159,3000,33578,4996,30,1,0.16,50,33668,49,0,102,67,0,42,2,5,0,2,0,28142,14,9,2,3,2,3,44,378,27,0,5241,0,11,0,3000,412,6,0.39,0.48
Xx2Tr0ll4UxX#2243,3459,1051,366,0,0,0,0,549,2,0,1,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,1,8,0,0,237,0,0,0,60,6,0,0.52,0.63
synex#11564,1946,11707,2944,7,1,0.15,13,5432,5,0,40,13,0,18,0,1,0,1,0,8519,3,1,2,1,2,0,12,44,6,1,1037,0,3,0,780,80,1,0.29,0.86
Dubs#1280,2357,305,11,0,0,0,0,238,1,0,1,2,0,0,0,0,0,0,0,294,0,0,0,0,0,0,1,10,1,0,142,0,0,0,45,0,0,0.66,0
Poruch1k#2319,1510,2435,0,0,0,0.18,4,2482,4,0,4,3,0,0,0,0,0,0,0,2435,1,1,0,0,0,0,3,8,0,0,138,0,0,0,180,0,0,0.42,0
Eredis#2891,2076,4385,918,0,0,0.31,7,2692,9,0,18,14,0,7,0,1,0,0,0,3466,1,1,0,1,0,0,6,25,4,0,614,0,1,0,540,0,0,0.41,0.55
AVANTE#11491,1569,689,0,0,0,0.16,1,1148,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,186,0,1,0,180,0,0,0.1,0.23
Zuch#11739,2943,14114,3661,7,1,0.14,17,10811,15,0,35,22,0,11,1,2,0,1,0,9209,6,3,2,1,1,0,24,246,8,0,1836,0,1,0,1140,191,2,0.41,0.65
lala#4236,2411,2349,942,0,0,0,0,2253,6,0,5,0,0,1,0,1,0,0,0,1406,1,0,0,0,1,0,2,53,0,0,807,0,0,0,300,35,0,0.31,0.11
Advyth#1839,2287,139431,32269,67,1,0.11,137,208966,211,0,416,313,0,138,9,17,1,7,0,105190,44,17,11,15,2,6,216,1606,119,0,19354,0,24,0,10800,1159,18,0.37,0.44
Moo#12649,3139,416,32,0,0,0.33,1,1710,3,0,1,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,1,11,0,0,51,0,0,0,60,0,0,0.75,0
JumboJet#1132,1911,18646,4158,16,0,0.21,19,24801,44,0,84,56,0,33,1,3,0,2,0,14052,10,5,2,3,2,1,44,517,25,0,3477,0,6,0,2640,394,6,0.35,0.54
LazyTitan#35192,1907,1532,23,0,0,0.11,2,803,4,0,2,1,0,1,0,0,0,0,0,1509,1,1,0,0,0,0,1,12,1,0,140,0,0,0,120,0,0,0.54,0
Thoddl#2775,2451,3131,368,1,0,0.66,6,2486,11,0,13,12,0,4,1,1,0,0,0,2749,2,0,1,0,1,0,9,74,5,0,560,0,0,0,420,20,0,0.56,0
Gaddoc#21602,1488,163329,28641,97,7,0.14,171,152653,205,0,460,351,0,197,11,24,1,13,0,131959,80,26,24,30,1,8,216,1325,119,1,31152,0,58,0,14400,1848,3,0.36,0.55
ObiJuan#11739,1641,1849,189,0,0,0,0,2465,8,0,5,7,0,0,0,0,0,0,0,1590,1,0,0,0,0,0,5,87,1,0,519,0,0,0,300,0,0,0.4,0.07
Wunderschoen#1728,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Noshimo#11479,1645,3843,411,5,0,0.27,5,1849,10,0,14,15,0,5,1,1,0,0,0,3430,1,0,0,0,0,1,3,47,8,0,974,0,0,0,480,48,0,0.62,0
Blodepker#1597,2404,839,0,0,0,0,0,4125,5,0,2,3,0,0,0,0,0,0,0,838,0,0,0,0,0,0,2,54,0,0,420,0,0,0,180,0,0,0.33,0.51
CantChat#21997,2985,5223,960,3,0,0.21,8,2029,2,0,17,10,0,5,0,1,0,0,0,4261,2,0,1,1,0,0,6,38,5,0,689,0,0,0,360,40,0,0.32,0.49
Syrocco#2898,2890,75,0,0,0,0,0,680,3,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,15,0,0,198,0,0,0,60,5,0,0.33,0.09
Jellis#1915,4184,3702,101,2,0,0.21,9,7787,8,0,14,1,0,8,0,0,0,0,0,3601,1,1,0,0,0,0,10,64,1,0,831,0,1,0,360,21,0,0.31,0.51
Spriggan#21579,2203,11396,2292,14,0,0.11,12,10014,21,0,39,19,0,12,2,2,0,0,0,9070,6,2,1,2,0,1,23,65,10,0,2625,0,4,0,1260,207,8,0.27,0
Chadders#21495,2554,4143,1012,1,0,0.2,5,1405,4,0,6,7,0,3,0,0,0,0,0,3121,1,1,0,1,0,0,2,19,2,0,455,0,2,0,180,65,0,0.39,0
Lebowski#1110,3730,738,319,0,0,0.66,2,36,1,0,1,1,0,1,0,0,0,0,0,419,1,0,0,0,0,0,1,6,0,0,46,0,1,0,48,0,0,0.3,0
Homogenic#21877,2617,3383,787,3,0,0.15,3,6786,8,0,13,9,0,2,0,1,0,0,0,2585,2,1,0,1,1,0,3,46,5,0,746,0,0,0,360,22,0,0.44,0.14
Urdek#2348,2501,1549,357,0,0,0,0,1325,1,0,2,5,0,2,0,0,0,0,0,940,0,0,0,0,0,0,0,0,0,0,131,0,0,0,120,0,0,0.21,0
Stratafyre#1778,2684,2295,765,2,0,0.16,2,1078,4,0,3,3,0,2,0,0,0,0,0,1529,1,0,1,0,0,0,1,10,1,0,438,0,0,0,240,0,0,0.17,0
Noicetous#21473,2235,7509,1781,11,0,0.21,8,8777,10,0,25,21,0,8,0,1,0,0,0,5705,3,1,0,1,0,0,5,54,12,0,1672,0,1,0,720,143,0,0.24,0.42
Catexcretory#1210,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1.0
Death#14773,2516,107,0,0,0,0,0,1846,1,0,0,2,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,3,0,0,71,0,0,0,50,0,0,0,0
ToiletKiller#1173,2671,3949,651,3,0,0.2,6,1005,11,0,7,6,0,4,0,1,0,0,0,3296,0,0,0,0,0,0,4,49,1,0,435,0,1,0,540,0,2,0.24,0.68
Marco#1512,2755,4985,952,1,0,0.52,13,2733,6,0,6,14,0,2,0,0,0,0,0,3928,1,0,0,1,0,0,2,26,3,0,969,0,0,0,420,20,0,0.36,0.31
Serapis#21438,2600,4567,955,1,1,0.19,7,2883,1,0,17,8,0,9,0,1,0,1,0,3557,2,0,0,2,0,1,1,3,5,0,305,0,1,0,240,86,0,0.42,1.0
Barkbarkdog#1853,3076,6462,2482,6,0,0.18,8,4762,3,0,14,2,0,4,0,0,0,0,0,3805,1,0,0,0,0,1,4,17,1,0,881,0,0,0,420,0,0,0.27,0
Harold#21916,2162,464,0,0,0,0,0,274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.41,0
RoodY#1670,4016,65,0,0,0,0,0,303,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,5,0,0,87,0,0,0,28,0,0,0,1.0
Platingold#2302,3171,6625,0,5,0,0.25,16,3893,5,0,25,5,0,12,1,1,0,0,0,6625,2,0,0,1,1,0,6,25,1,0,1070,0,5,0,480,247,0,0.35,0.11
Joey#13620,1679,2429,0,3,0,0.5,4,1009,6,0,14,7,0,3,0,1,0,1,0,0,2,1,0,1,0,0,6,42,7,0,522,0,0,0,420,85,0,0.18,0.74
Cold#12306,1845,4008,1931,2,0,0.15,3,2772,3,0,13,6,0,5,0,0,0,0,0,2037,2,0,0,1,0,0,5,28,5,0,94,0,0,0,300,7,0,0.18,0
Elixur#11734,1938,2485,942,1,0,0.17,3,1987,4,0,4,4,0,3,1,1,0,0,0,1543,3,0,2,2,0,0,1,16,2,0,451,0,0,0,240,0,0,0.25,0
CrazyJ922#1413,3139,2235,548,3,0,0.21,4,3279,6,0,7,3,0,5,1,1,0,0,0,1687,2,1,1,0,0,0,2,34,2,0,403,0,2,0,240,0,0,0.5,0
DeathKnight7#11961,1968,5491,1021,7,1,0.32,9,626,2,0,23,20,0,7,0,1,0,1,0,4467,4,0,2,2,0,0,8,60,10,0,405,0,1,0,420,101,0,0.48,0.92
Shayan#21936,2294,23107,4489,14,1,0.35,41,14124,18,0,72,65,0,25,1,3,0,2,0,18115,8,5,1,2,2,1,41,477,25,0,3492,0,6,0,1920,420,0,0.38,0.77
SmurfAhmad#2106,2690,1288,0,1,0,0.18,2,1232,4,0,3,2,0,1,0,0,0,0,0,1288,0,0,0,0,0,0,2,40,0,0,385,0,0,0,120,0,0,0.45,0
bshink#1246,2283,13000,1836,11,0,0.23,21,13630,21,0,32,28,0,15,1,1,0,1,0,10996,4,1,1,2,0,0,13,125,12,0,2167,0,4,0,1200,159,0,0.42,0.54
Potatoman77#1643,3314,8943,1524,7,1,0.15,13,1658,1,0,25,5,0,13,0,1,0,1,0,7134,4,1,2,2,1,0,10,49,4,0,621,0,1,0,480,269,0,0.34,1.0
Genie#1299,3002,2256,0,1,0,0,0,5098,4,0,2,3,0,2,0,0,0,0,0,2256,1,0,0,0,0,0,0,47,0,0,301,0,0,0,180,0,0,0.43,0
c4800#1451,3531,123,43,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,1.0
icecreamboi#11290,3518,1511,0,0,0,0.18,3,1694,3,0,5,1,0,2,0,0,0,0,0,1478,1,0,0,0,0,0,3,8,0,0,215,0,0,0,120,0,0,0.24,1.0
HugsNBoners#1459,2843,5236,1630,2,0,0.28,7,3516,10,0,14,8,0,4,2,2,0,0,0,3602,4,2,1,0,0,0,8,107,3,0,1456,0,3,0,600,1,0,0.25,0.05
SunnyG#11308,2980,18899,4496,12,0,0.17,25,33699,17,0,40,28,0,22,1,1,0,1,0,14286,3,1,0,2,0,0,21,131,10,0,2128,0,3,0,1380,148,0,0.3,0.56
Caribou#11585,2779,59839,9373,42,1,0.22,98,44360,78,0,205,109,0,81,4,8,0,3,0,50100,21,8,6,7,1,1,114,781,48,0,8936,0,15,0,3600,508,0,0.28,0.42
Alcoris#2522,1880,1671,312,1,0,0.33,3,696,0,0,7,2,0,4,0,0,0,0,0,1359,1,0,0,0,1,0,4,36,0,1,287,0,0,0,120,0,0,0.21,0.88
Joy#12346,2791,10226,1928,1,0,0.18,15,5824,14,0,18,16,0,7,1,1,0,0,0,8298,3,1,0,1,0,0,3,38,5,0,917,0,2,0,780,0,0,0.36,0.2
Niyris#2962,2350,3362,1500,0,0,0.08,3,1488,3,0,2,6,0,0,0,0,0,0,0,1862,1,0,0,1,0,0,0,6,1,0,326,0,0,0,180,0,0,0.44,0
