battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,players_teleported,primary_fire_accuracy,quick_melee_accuracy,sentry_turret_kills,shield_generator_uptime,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,teleporter_uptime,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Syndra#11328,2243,1424,462,0,0,0,405,1,0,2,0,1,0,0,0,0,0,961,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,7,60,0,0,0,0
Seirex#21142,3089,2208,530,0,0,0,0,3,0,9,0,4,0,0,0,0,0,1677,1,0,1,0,0,0,4,12,0,2,1,0,4,0,0,0,0,16,180,0,0,0,0
Turbo#11987,2983,1917,0,0,0,0,1509,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,0,0,1,0,95,180,0,0,0,0
Bountyhntr#1704,2720,3565,69,0,0,0,1478,8,0,12,0,6,1,1,0,0,0,3482,3,0,1,1,0,0,4,18,0,0,1,0,5,235,0,3,0,19,660,0,0,0,0
LostPander#1756,2585,34405,8955,2,0,0,13728,30,0,73,0,34,0,4,0,3,0,25215,9,2,6,1,0,1,23,122,0,31,1,0,36,189,0,9,0,393,2040,184,2,0,0.86
Hiraeth#11207,2764,12069,3102,1,0,0,6090,17,0,32,0,15,2,2,0,0,0,8936,4,2,1,2,0,0,11,93,0,7,1,0,17,198,0,3,0,165,1140,59,0,0,0.0
Ohdabray#1494,1897,10330,1492,0,0,0,3177,13,0,20,0,10,0,1,0,1,0,8835,1,0,0,1,0,0,12,40,0,0,1,0,8,273,0,2,0,0,780,8,0,0,0.88
Robby#21642,2693,3631,849,0,0,0,241,7,0,5,0,3,0,0,0,0,0,2681,1,0,0,1,0,0,1,11,0,3,1,0,3,0,0,2,0,35,240,24,0,0,0.41
Puchu#11839,3313,16124,4123,1,0,0,6624,10,0,44,0,12,0,2,1,1,0,11933,3,0,1,2,0,0,29,85,0,14,0,0,34,0,0,2,0,220,1260,0,1,0,0.84
yuhaf2bemad#1185,2573,1633,250,0,0,0,774,0,0,3,0,2,0,0,0,0,0,1081,1,0,0,0,0,0,2,11,0,0,1,0,0,0,0,0,0,5,54,0,0,0,1.0
Megarave#2895,1725,6181,1206,1,0,0,3963,7,0,14,0,4,0,1,0,1,0,4858,5,1,3,1,0,1,1,6,0,5,0,0,13,0,0,0,0,146,600,0,0,0,0.8
Vetigue#2481,2656,13463,1647,0,0,0,1250,12,0,23,0,15,0,1,0,1,0,11236,2,0,1,1,0,0,9,58,0,15,0,0,7,0,0,4,1,280,720,156,0,0,0.8
FoxZ#2507,1873,1410,55,0,0,0,671,2,0,3,0,2,0,0,0,0,0,1354,1,0,0,0,0,0,1,3,0,1,1,0,1,0,0,1,0,46,120,0,0,0,0
Zwiebel#2750,2176,4346,700,0,0,0,389,9,0,7,0,3,1,1,0,0,0,3004,2,1,0,1,0,0,0,7,0,1,1,0,3,41,0,0,0,14,480,0,4,0,0.24
Libra#2138,1240,422924,59874,27,0,0,190934,566,0,1383,0,599,20,58,3,35,0,349336,133,54,36,43,0,14,681,3905,0,248,0,0,897,0,0,171,0,4444,39600,3291,48,0,0.63
CMiPlays#2876,3581,3990,547,0,0,0,874,4,0,11,0,4,1,1,0,0,0,3443,1,0,0,0,0,0,0,5,0,1,1,0,6,108,0,1,0,15,480,0,0,0,0.12
Shevilapple#1330,2290,2662,0,0,0,0,5,5,0,11,0,8,0,0,0,0,0,0,1,1,0,0,0,0,3,38,0,0,0,0,4,0,0,2,0,0,300,18,0,0,0.12
mypen0r#1216,2607,85369,4568,3,0,0,22335,65,0,201,0,81,3,10,1,6,0,14791,28,10,9,10,0,4,54,225,0,111,0,0,123,0,0,21,0,1877,3600,634,6,0,0.59
Alhassan#21431,3016,38890,0,1,0,0,11685,44,0,101,0,43,2,5,1,2,0,0,10,0,4,6,1,1,29,88,0,49,0,0,49,0,0,14,0,812,3360,231,2,0,0.42
Elena#22586,2630,61423,13423,4,0,0,24506,36,0,165,0,56,1,8,1,7,0,47578,24,12,6,6,0,1,56,161,0,66,0,1,77,777,0,11,0,1333,3600,103,1,0,0.91
Tepes#21403,2423,2283,49,0,0,0,126,6,0,1,0,0,0,0,0,0,0,2225,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,13,180,0,0,0,0
Rudy#11174,2647,6773,759,0,0,0,2032,16,0,17,0,4,1,2,0,0,0,6014,2,1,1,0,0,0,7,54,0,24,0,0,5,0,0,0,0,184,900,0,0,0,0.14
victory#2166,1830,33381,2704,1,0,0,10011,35,0,78,0,35,2,5,0,3,0,29970,12,6,2,4,0,0,38,182,0,40,1,0,42,292,0,8,0,885,2880,405,0,0,0.53
