battletag,SR,ability_damage_done,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,meteor_strike_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,shields_created,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Wackt1#1138,2385,150,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,3,0,0,0,60,0,0,27,0,0,0.33,0
Beemo#11763,3317,9895.92,19475,2982,0,0,0,32,0,54,0,32,1,2,0,1,0,16203,6,1,2,3,1,5,2,25,209,0,0,1,3430.43,10,0,1620,159,1,0.31,0.35
BromaS#2591,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Juhq#2576,2642,295.86,1392,568,0,0,0,6,0,0,0,0,0,0,0,0,0,824,0,0,0,0,0,0,0,0,3,0,0,0,180,0,0,120,0,0,0.46,0
Machinae#2920,2854,10118.65,16846,1968,0,0,0,31,0,46,0,29,1,3,0,2,0,14805,4,3,0,1,3,9,1,15,94,0,0,0,3489.02,5,0,1500,62,0,0.21,0.57
Xsasu#1286,1744,1823.99,2981,905,0,0,0,9,0,6,0,4,0,0,0,0,0,2076,1,0,0,1,0,2,0,3,21,0,0,0,835.46,0,0,360,0,0,0.1,0
Yorgop#11659,2711,3232.45,5710,974,0,0,0,8,0,21,1,8,0,1,0,1,0,4736,2,1,2,0,0,1,1,12,64,0,0,0,1080,3,0,480,42,0,0.21,1.0
Nie#21863,2531,3671.08,5572,132,1,0,0,1,0,15,0,12,0,1,0,1,0,5333,3,1,1,1,0,1,0,0,0,0,0,0,1200,6,0,240,128,0,0.51,1.0
Tim#14130,3088,1326.47,2210,58,0,0,0,7,0,0,0,0,0,0,0,0,0,2152,1,1,0,0,0,0,0,0,9,0,0,0,420,0,0,180,0,0,0.41,0
BestORISA#1897,1628,165857.56,319758,40535,4,0,0,443,0,731,7,428,22,40,1,17,0,275584,85,36,22,27,11,114,1,288,2102,0,1,0,73632.78,134,0,25200,989,25,0.28,0.44
